stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,8.65,0,11.32,311.54,0,6.25,0,0,0,2.44,0,0.81,0,1755.93,0.88,0,0,0,0,3.41,0,0,3.75,88.03,0.94,0.83,0,0.9,11.62,0,16.38,0,0,9.57,34.11,0,0,0,0
 24-34,0,0,1.68,161.28,0,13.6,0,0,0.64,2.56,0,0,0,3136.35,2.37,0,0,11.16,0.72,13.48,0,0,4.64,128.25,0,0,2.54,0,9.51,0,0,0.7,0.88,0,17.3,0,10.92,0,0
 36-46,0,0,1.27,13.01,0,18.04,0,0,0,2.14,0,0,0,1558.98,0.84,0,0,0,2.86,3.38,0,0,1.19,47.28,0,0.68,0,0,11.39,0.78,0,0,1.69,0,11.88,0,14.71,0,3.49
 48-58,0,0,0,43.86,0,18.44,0,0,0,1.79,0,1.58,0,288.34,0,0,0,0,2.44,4.33,1.96,0,0.67,15,0,0,0,0,4.22,0,0,0,0,0,7.84,0,9.81,0,0
 60-70,0,0,13.53,80.53,0,32.92,0,0,0,4.32,0,0,0,222.76,0,0,0,0,0,10.2,0,0,0,43.09,0,0,0.9,0,13.02,0,0,0,0,0,2.67,0,109.64,0,9.76
 72-82,0,0,2.09,89.34,0,12.69,0,0,0,0.93,0,0,0,83.87,1.69,1.15,0.68,0,0,58.53,0.79,0,0,8.35,0,0,0,0,6.97,0,0,0,0,0,0,0,59.2,0,0
 84-94,0,0,11.25,1056.37,0,22.49,0,2.43,0,0,1.51,0,1.45,64.88,5.3,0,0,0,0,43.34,1.68,0,0,7.65,1.41,0,0,0,18.71,0,0,0,0,0,2.8,0,43.71,0,0
 96-106,0,0,59.68,433.77,0,116.49,0,0.96,0,8.11,0,0,0,394.48,4.9,3.93,0.71,1.01,0,168.12,6.15,0.59,3.14,57.3,0,0,0,0,17.04,0,0,0,0,0,2.16,0,276.97,0.64,0
108-118,0,0.76,67.19,459.31,2.2,22.46,0,8.77,0,6.84,0.62,0,0,608.38,25.59,0,0,25.19,0,117.43,0,0,1.6,63.79,0,0.89,0,0,28.21,0,0,8.71,0,0,1.42,0,381.51,0,0
120,0,0,41.48,1198.52,0,53.93,2.85,4.69,0,9.38,6.96,0,0,1161.28,6.58,0,0,65.88,0,46.96,0,0,0,128.29,0,0,1.43,0,49.89,0,0,0,0,0,0,9.46,686.45,0,0
