stage,epidermis,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,lateral_line,mesenchyme,mural_cell,muscle,neural,periderm,spinal_cord,vascular_smooth_muscle,visceral_smooth_muscle
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0.97,0,0
 24-34,1.49,0,0,8.42,0,0,0,0,0,0,0,0,1.16,0,0
 36-46,1.07,0.68,0,25.26,0,0,0,1.09,0,0,3.22,0,0,0,0
 48-58,1.07,0.48,0.48,10.19,0,1.33,0,4.55,0,0.99,3.78,0,0,0,0
 60-70,4.31,7.26,0,9.93,0,0,0,21.99,0,0,6.89,0,0,0,0
 72-82,1.35,1.99,2.84,4.83,0.96,1.46,0,31.42,0.57,0,14.24,0,0,0.93,1.28
 84-94,1.54,0.89,6.75,7.55,0,0,0,60.56,0,0,1.77,0,0,0,2.7
 96-106,0.6,5.96,11.44,7.4,0,3.38,1.11,25.78,0,6.97,6.36,0,0,0,1.22
108-118,0,2.04,9.15,11.29,2.1,0,0,64.68,0,1.82,7.08,0,0,0,3
120,0,0,11.96,20.76,0,0,0,143.32,0,0,22.21,1.07,0,0,1.45
