stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.53,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,4.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,3.82,0.9,0.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.94,0,1.74,0,0,0,0,0,1.23,42.66,0,0,0,0,0
 24-34,2.97,0,13.83,0,0,8.13,0,0,0,1.56,0,0,0,0,0,0,1.3,1.9,3.34,0,0,2.01,910.04,0,3.77,0,0,0,0,0,0,283.03,0,0,0.64,0,3.82
 36-46,0,0,4.35,0,0,29.8,0,0,0,0,0,0,0,0,0,1,0,0,1.92,0,0,3.6,2444.63,0,14.74,0,0,0,3.64,0,0,508.91,0,0,0,0,8.09
 48-58,0,0,5.69,0.37,0,307.35,6.52,2.39,0,62.96,1.96,0.49,1.49,0.55,0.94,0,6.39,4.31,33.97,0,0,5.85,4756.17,0.55,14.58,4.41,0,0,1.66,0.65,0,594.92,0,0,0.49,0,17.29
 60-70,0,0,10.85,0,0,1410.71,0.79,0,4.11,98.04,1.84,2.9,0.7,5.28,0,0,0,0,61.87,0,16.63,2.16,9200.42,5.6,16.83,0,0,0,7.04,0,0,1124.73,0,0,8.66,0,13.05
 72-82,1.18,0,24.24,18.53,0,2776.87,0,12.46,11.26,163.23,6.87,3.93,12.39,0,10.36,0.99,1.92,7.1,144.74,0.92,19.67,3.54,10326.34,3.83,26.67,9.11,0,0.72,14.31,0,0,915.51,4.73,1.68,17.89,2.8,57.15
 84-94,3.32,0,54.02,7.72,0,1327.58,2.85,0,4.37,112.44,3.86,0,0,0,2.59,0.69,2.33,0,33.56,2.46,0,5.33,6402.99,0,28.32,2.47,0,0,23.2,1.94,0,592.77,0,3.81,4.3,11.23,17.49
 96-106,1.56,0,45.59,61.99,1.06,1188.9,2.17,2.75,4.4,96.15,3.88,0,10.84,1.46,0,0.63,0.59,0,68.03,2.28,0.59,2.24,6296.29,0,31.94,0.87,0,1.51,38.72,1.48,0,288.46,12.19,1.97,1.93,0,26.57
108-118,0,0,57.22,6.69,0.47,911.77,0,1.9,1.47,82.21,7.01,0,1.7,1.9,2.72,0,0,1.55,53.27,0,3.6,3.87,9515.61,0,12.27,2.96,0,0.87,13.7,0,0,290.4,3.36,0,8.39,3.99,0
120,10.11,0,94.95,10.63,0,858.99,0,4.61,9.05,109.66,3.03,0,9.93,2.51,0,3.78,19.61,0,83.3,0,0,26.59,13050.7,0,22.79,0,0,0,15.99,0,0,274.17,0,0,8.69,5.25,8.45
