stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,glial,gut,immune,mesenchyme,muscle,neural,paraxial_mesoderm,periderm,pronephros,somites,spinal_cord,vasculature
  3-4,38.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,46.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,39.5,5.87,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,13.91,4.02,0,4.5,0,0,0
 14-21,0,1.09,1.13,0,3.94,0,0,0,0,0.82,5.97,0,3.31,0,2.27,2.19,0
 24-34,0,1.37,0,0,0,1.21,0,0,0,0,6.16,0,0,1.45,0,1.66,0.7
 36-46,0,0,0,0,0,0,0,0,0.84,0,23.49,0,0.91,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,13.23,0,0.4,0,0,1.45,0
 60-70,0,0,0,0,0.81,0.95,1.38,0,0,0,0,0,6.93,0,0,0,0
 72-82,0,0,0,0.54,1.47,0,0,0,1.25,0.62,10.96,0,0,0,0,0,0
 84-94,0,0,0,0,0.57,0,0,1.19,0,0,3.3,0,0,0,0,0,0
 96-106,0,0.81,0,0,0,0,0.83,0,1.58,0,1.41,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0,0,0,0,8.92,0,0,0.43,0,0,0
120,0,0,3.37,0,0,0,0,0,2.28,0,34.02,0,0,0,0,0,0
