stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,glial,gut,heart,ionocyte,lateral_line,liver,mesenchyme,mucous,muscle,neural,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,xanthophores
  3-4,0,108.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,23.87,44.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.66,0,0,0,0,6.3,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,5.98,0,0,0,0,0,0,0,0,0,0,0,0,30.5,0,0,4.58,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.51,0,0,3.79,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.23,10.16,1.02,0,0,0,1.17,0,0,0,0,0,1.46,0,0,9.78,1.55,0,0.87,0,0,4.2,0,1.77,1.1,5.33,0,0,0
 24-34,0,0,0.62,0,1.19,0,0,0.71,0,1.79,0,0.68,0,0,0,7.97,1.33,0.66,30.37,0,0.79,0,0,0.67,0,0.79,0,1.91,16.16,0,0,0.77
 36-46,0,0,0,0,1,0,0,0,5.83,0,0,0.6,0,0,0,0,0,1.08,17.85,0,0.83,0,0,0,0,0.72,0,0,12.78,0,4.09,0
 48-58,0,0,0,0,0,0,0,0.98,0,5.54,0,0.48,0,0.5,0,2.27,0,1.57,31,0.39,0.91,0,0,0.82,0,0.62,0,0,7.07,0,0.64,0
 60-70,0,0,0,0,0,0,0,0,0.65,2.87,0,0,0,0,0,1.56,1.09,0,55.74,1.29,0.86,0,0,1.58,0,0,0,0,12.11,0,0,0
 72-82,0,0,0,0,1.9,0.57,0,25.74,0,8.13,0,0,0,2.25,0,7.91,0,0.56,45.08,8.14,0,0,0,0.54,0,0.53,0,0,0.89,1.18,0,5.08
 84-94,0,0,0,0,2.37,1.05,0,10.78,4.74,4.71,0,0,0.6,1.9,0.74,2.46,0,0,52.94,0.93,0.57,0,0,12.12,0,0,0,0,6.25,0,0.8,0
 96-106,0,0,0,0,1.83,0,0,2.49,0,7.11,0.63,0,0,1.47,4,3.95,0,0,41.33,0,1.24,0,0,4.6,0,0,0,0,11.71,0,3.98,0
108-118,0,0,0,0,0.44,0,0.53,19.9,3.82,12.4,0,0,0.47,0,0,7.47,0,0,56.18,2.83,4.32,0,0,2.64,0,0,0,0,7.47,0,0,0
120,0,0,0,0,18.14,0,0,11.19,0,0,0,0,0,1.77,0,4.19,0,0,113.5,0,3.85,0,5.29,1.17,0,1.14,0,0,0,0,10.87,9.75
