stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,222.56,2702.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.32,0,0,0,0,0,0,0,0,0,0
  5-6,89.8,1733.81,0,0,0,0,0,0,0,0,0,0,9.89,0,0,0,0,0,0,0,0,0,0,0,9.19,0,0,0,9.2,0,87.61,0,0,0,0,0,0,0,0,0,0
  7-9,5.44,8.18,0,7.54,0,0,4.41,0,0,0,0,0,74.71,0,0,0,0,0,0,0,0,0,0,0,155.73,29.09,0,0,36.11,0,0,18.52,0,0,0,0,0,0,0,0,0
 10-12,0,12,0,25.47,0,11.83,3.73,0,0,0,0,0,286.23,0,0,0,0,0,0,0,0,0,0,0,562.46,15.89,0,0,107,0,6.67,0,4.36,37.7,0,10.41,0,0,0,0,0
 14-21,0,0,19.74,31.43,663.81,12.94,13.34,0,0.95,0,0.91,27.16,43.85,16.25,0,1.84,0,0,0,0,187.67,0,0,65.1,297.05,0,1.13,14.16,7.1,0,34.14,1.8,6.4,0,13.7,83.99,0,0,16.38,0,0
 24-34,0.88,0,3.69,28.26,305.42,2.96,13.98,0,8.41,1.27,18.83,5.77,9.74,20.37,0,0.6,1.45,4.82,6.6,4.82,193.84,0,0,48.41,840.61,0,11.18,11.39,0,3.74,31.56,0,0,0,9.59,131.87,0,0,91.9,0,0
 36-46,0,0,2.93,1.38,162.95,1.51,32.23,0,30.84,28.31,59.01,3.09,0.76,19.38,0,9.14,0.88,5.56,14.65,0,356.97,1.17,8.57,20.5,1651.03,0,15.9,12.52,0,0,21.87,0,0,1.75,0,392.28,0,2.73,78.01,0,10
 48-58,0.77,1.29,0,0,127.07,0,158.49,0,15.33,29.56,123.67,7.16,6.75,12.06,0,0,1.06,2.93,14.25,4.65,505.23,0.92,5.74,26.25,1906.93,0,5.23,15.37,0,5.14,1.56,0,0,0,0,456.69,0,3.14,40.25,0.78,0
 60-70,0,0,0.89,0,102.4,3.28,253.6,5.08,37.59,36.04,142.98,5.61,9.25,18.68,4.65,4.96,0,4.48,7.74,0,717.1,0.62,8.93,15.69,2001.52,0,4.75,10.68,0,2.75,0.78,0,0,0,0,323.66,0,7.98,40.48,2.46,10.74
 72-82,0,0,2.16,0,53.68,0,256.64,4.38,27.32,70.13,140.71,3.44,4.35,14.78,0,5.72,0,2.43,0.62,0,748.03,0,16.48,17.91,1600.07,0,2.41,12.85,0,4.61,0.49,0,0,0,0,300.32,0.69,10.27,60.58,10.02,5.59
 84-94,0,0,0.66,0,64.34,4.99,211.61,4.57,30.36,49.3,92.94,13.27,5.87,2.5,0.84,3.94,3.27,6.37,0.56,5.72,642.87,0.69,11.23,10.56,1027.1,0,3.88,13.68,0,0.77,10.78,0,0,0,0,148.27,3.99,7.9,48,3.85,13.1
 96-106,0,0,7.03,0,83.46,9.44,230.17,4.21,19.2,27.96,106.48,9.39,0,5.38,0.65,7.98,0,14,0,0,639.71,0.69,14.65,14.64,972.85,0,14.85,19.89,0,1.92,16.67,0,0,2.41,0,67.01,1.01,3.72,49.01,10.73,23.56
108-118,0,0,3.47,0.89,98.39,1.66,216.98,0.55,51.84,45.49,84.37,15.11,0,7.94,0,11.05,5.5,9.07,1.4,0,589.37,0,12.39,15.34,1035.21,0,4.11,18.05,0,0.91,2.35,0,0,0.62,0,29.95,2.36,9.62,49.04,6.04,1.79
120,0,0,5.07,0,122.56,0,284.78,1.21,40.73,42.94,154.88,11.72,0,3.22,0,3.31,2.67,5.37,4.74,0,488.6,2.33,6.89,13.51,1393.49,3.33,14.75,37.62,0,0,1.33,0,0,3.93,0,69.53,0,20.26,66.08,38.15,0
