stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,0.84,45.27,11.96,0,8.75,0,0.82,0,8.03,0,0,0,0,9.64,0,0,4.33,0,20.98,0.82,0,10.21,114.01,14.15,1.13,1.63,0,29.87,0,19.36,0.86,2.7,15.63,27.69,0,0,3.91,0,1.92
 24-34,0,3.76,32.47,0,0,19.9,1.89,3.14,0,4.42,0,0,5.54,1.21,14.55,0,2.85,0,0.8,36.9,8.01,0,14.35,284.93,4.64,6.31,3.08,0,39.72,0,0.76,5.62,0.67,7,84.6,0,0,29.31,0,6.37
 36-46,0,0,58.31,0,0,22.83,11.4,10.68,1.86,25.42,0,0,1.67,13.58,23.6,0,2.43,0,0.79,43.66,19.02,0,12.11,280.1,4.86,2.83,2.49,0,102.62,0.81,0,7.69,2.34,0,71.73,0,0,18.79,0,3.59
 48-58,0.42,0,63.04,0.41,0,27.75,8.19,13.41,2.28,30.54,2.85,41.72,8.85,4.03,6.67,0,0.51,4.43,1.22,42.28,30.27,1.4,13.74,156.23,5.61,0.96,4.19,0.61,39.26,0,0,12.22,3.63,0,31.33,0,0,16.1,0,10.99
 60-70,0,0,85.12,1.34,0,41.51,16.65,54.81,0,29.13,0.63,4.79,1.38,3.93,2.89,0.67,3.58,0,0,65.22,26.03,3.36,1.99,56.03,8.04,1.43,1.2,0,64.64,0,0,14.92,13.36,0,37.22,0,0,9.87,0,17.83
 72-82,3.85,0,71.84,3.8,0,60.12,2.53,32.59,1.8,59.24,14.02,3.29,2.71,13.39,3.95,5.3,7.3,4.73,0,117.46,18.43,3.35,2.18,109.95,0.56,9.2,4.75,1.77,76.41,0,0,30.41,0,0,30.34,2.37,1.73,44.41,1.9,9.2
 84-94,2,1,165.23,6.25,1.09,51.12,3.46,94.9,14.51,47.71,24.67,16.69,0,22.44,13.41,0.62,9.97,0.96,4.6,102.73,47.18,6.7,10.96,87.51,8.18,4.04,9.73,2.65,283.34,0,0,74.48,4.24,0,7.81,2.74,6.11,9,0,17.74
 96-106,4,0,186.28,16.04,0.77,135.86,9.94,94.89,4.32,43.08,47.09,0,8.47,35.52,12.28,6.83,8.84,13.5,1.73,108.76,68.14,5.92,6.4,119.48,0.62,3.33,8.49,2.6,249.18,0,0,44.83,5.33,0,12.89,8.56,1.98,35.14,1.37,8.85
108-118,6.26,0.74,381.73,3.22,7.24,136.73,15.03,152.89,7.94,74.08,76.25,0,0.51,27.49,14.93,15.44,5.69,11.16,7.31,84.09,61.84,8.25,14.21,93.15,6.6,4.02,13.52,0,262.45,0,0,69.2,4.69,0,5.8,11.85,4.39,35.09,7.62,6.76
120,13.06,0,483.26,1.3,0,96.58,9.41,114.93,4.41,179.14,147.62,0,11.91,53.17,23.06,9.3,13.77,11.33,0,249.21,14.4,6.75,17.49,153.92,11.83,32.95,12.4,0,267.25,0,0,75.92,19.08,0,12.13,2.39,19.72,68.95,8.26,6.02
