stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,9.79,754.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.35,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,291.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.35,0,0,0,6.9,0,6.32,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,6.93,0,16.75,0,0,0,27.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153.92,6.48,0,0,41.46,0,8.05,4.58,0,0,0,0,0,0,0,0,0,0
 10-12,0,5.81,0,27.84,0,0,0,17.16,0,0,0,0,0,0,0,0,0,5.32,0,0,0,0,0,476.81,7.35,0,0,93.78,0,11.08,0,0,14.91,0,0,0,0,0,0,0,0
 14-21,0,0,1.11,2.83,20.43,36.78,0,7.07,0.87,0,3.28,2.05,1.34,0.97,0,0,0,2.09,0,15.51,0,0,7.28,84.68,4.38,5.27,2.02,2.45,0,12.61,0.91,0.83,4.52,2.13,6.01,48.82,0,0,24.19,0,0
 24-34,0,0,0.75,0,7.82,4.64,0,17.6,1.6,0,10.34,0,2.96,5.29,6.72,1.14,0,0.94,0.77,27.27,4.95,0,9.2,245.61,0,7.71,2.7,0,0.99,40.74,0,0,0,0,3.35,49.25,0,0,113.14,0,2.19
 36-46,0,0,0,0,1.16,0,0,59.76,0,11.43,14.51,0,2.27,19.53,13.48,0,0.79,0,0.66,36.93,0,0,2.07,250.14,1.57,4.81,1.56,0,1.69,15.47,0,0,0.7,0,0,64.05,0,0,47.39,0,1.51
 48-58,0,0,0,0.43,8.8,0,0,97.52,7.15,2,41.15,0,2.22,2.1,0,0.43,1.4,0,5.15,31.37,1.17,0,2.58,264.08,0,3.16,1.5,0,0,11.13,0,0,0,0,0,43.73,0,0,33.3,0,5.9
 60-70,0,0,0,0,7.27,1.62,0,261.19,1.03,1.59,27.95,0,0.77,3.85,0,0.81,5.4,0,0,55.54,2.63,6.28,1.43,209.67,0,5.83,5.06,0,1.13,28.17,0,0,0,0,0,34.46,0,3.99,20.73,0,23.03
 72-82,0,0,4.52,0,11.04,37.52,0,354.1,0,5.33,61.48,2.61,0,10.42,0,2.54,0.56,0,0,96.15,0.77,1.81,5.47,281.74,0,10.47,7.68,0,3.2,13.69,0,0,0,0,0,29.16,5.48,1.05,66.32,0.75,16.59
 84-94,0,0,0.56,0,15.5,38.83,0,215.19,0.55,0.62,29.9,2.29,0,8.4,2.97,0.61,6.19,0,1.35,73.13,1.27,9.33,3.08,180.83,0,5.35,13.07,0,0.91,22.74,0,0,0,0,0,24.9,0.81,4.46,55.98,0,0
 96-106,0,0,0,0,12.48,54.23,0,284.15,1.8,3.66,60.95,2.32,4.59,22.66,7.67,3.61,9.18,10.14,3.65,67.12,0,0,4.67,221.31,0,13.35,16.25,0,4.3,29.92,0,0,0,0,0,14.83,3.59,0,80.31,1.43,12.8
108-118,0,0,4.33,0.74,15.71,22.8,2.13,283.51,5.93,4.58,33.5,2.96,2.3,21.59,2.78,6.39,2.83,1.13,1.34,86.13,1.08,0.94,3.52,292.27,0.55,12.15,19.66,0,0,31.17,0,0,0.42,0,0,14.8,1.4,2.83,80.24,3.48,4.87
120,0,0,0,0,20.51,36.69,2.02,166.72,1.16,0,40.08,8.33,0,17.81,2.06,4.88,10.02,0,0,52.2,6.7,9.65,5.47,289.49,0,1.29,7.55,0,0,19.84,0,0,0,0,0,18.86,0,1.32,66.39,8.01,0
