stage,blastomeres,epidermis,eye,fast_muscle,glial,gut,immune,iridophores,lateral_line,liver,mesenchyme,mucous,muscle,neural,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,somites,spinal_cord,vasculature,xanthophores
  3-4,20.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,8.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,22.24,0,0,5.46,0,0,0,0,0,0,0
 10-12,0,0,3.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,1.92,0,0.88,7.19,0,0,0,0,0,0.87,0.9,1.02,0,0
 24-34,0,1,6.78,0,0,0,0,0,0,0,1.53,0,1.94,15.96,0,0,0,0,0,0,0,6.71,0,0
 36-46,0,0,1.27,0,1.83,0,0,0,0,0,0,0,0,26.76,0,0,0,0,0,0,0,4.99,10.01,0
 48-58,0,0,3.55,0.81,0.91,0,0,0,0,0,1.45,0,0.48,16.01,0,0.38,0,0,0,0,0,7.77,0,0
 60-70,0,0,8.12,0,0,0,0,0,0,3.15,1.64,0,0,42.17,0.96,0,0,0,0,0,0,1.32,0,0
 72-82,0,0,12.56,0,0.68,0,0,1.24,0,0,3.28,0,0,13,1.09,0,0,0,0,0,0,0,0,1.15
 84-94,0,0,1.59,0,1.27,0,0,0,0,0,0,0,0,3.68,0,0,0,0,1.39,0,0,0,0,0
 96-106,0,0,3.27,0,0,0,0.73,0,0.84,0,0,0,0,0,0,0.61,0,0,0,0,0,0,0,0
108-118,0,0,3.04,0,3.4,0,0,0.88,0,0,5.81,3.33,0,6.04,0,6.07,0,0,0,0,0,0,0,0
120,0,0,3.62,0,0,6.77,0,3.19,0,0,5.81,0,0,30.89,0,0,0,13.12,0,0,0,0,0,0
