stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,36.74,516.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,244.9,0,0,0,0,0,0,0,0,0,0,0
  5-6,213.62,622.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97.71,20.53,0,0,0,0,88.14,0,0,0,0,0,0,0,0,0,0,0
  7-9,57.25,4,0,351.74,0,0,0,40.93,0,0,0,0,0,174.21,0,0,0,0,0,0,0,0,0,0,816.96,18.66,0,0,114.43,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,80.7,0,121.15,0,0,0,5.29,0,0,0,0,0,29.61,0,0,0,0,0,0,0,0,0,3.87,1541.87,10.05,0,0,784.76,0,0,0,25.56,57.64,0,54.22,0,0,0,0,0,0
 14-21,0,0,2.14,7.88,61.84,32.55,0,1.93,0,0,0,0.95,0.97,0,1.15,0,0.8,0,0,0,66.45,0,0,592.4,656.63,0.81,163.61,8.59,0,0,2.11,0,448.28,30.29,0,3679.71,440.68,0,0,0,0,0
 24-34,0,0,1.9,0,18.06,0.66,0,12.67,0,1.45,0,1.56,0,0,0,0,0,0,0,0,97.2,0,0.69,453.73,1908.7,0,219.7,1.2,0,0,10.32,0,6.38,2.66,0,270.7,269.95,0,0,0,0,0
 36-46,0,0,0,0,15.34,1.67,0,29.82,3,0,0,1.02,0,0,1.28,0,0,0,0,0,260.77,1.99,0.85,190.45,5121.63,0,189.64,0,0,0,0,0,1.82,2.15,0.56,0,510.01,0,0,0.77,0,0
 48-58,0,0,0,0,14.24,0.56,0,115.3,1.05,1.85,2.98,49.7,0.54,2.63,2.49,0,0,2.78,0,7.08,161.44,1.4,0,182.61,5153.49,0,143.9,7.16,0,0,3.86,0,0,2.31,0,0,584.81,0,0.61,12.81,0,6.76
 60-70,0,0,0,0,6.73,0.6,0,90.36,0,0,0.84,18.6,0,0,0,0,0,0,0,6.87,95.56,0.85,2.64,153.2,3372.82,5.81,111.88,0,0,0,0.71,0,0,0.58,0.71,0,345.19,0,0,2.2,0,6.55
 72-82,0,0,0,0,16.1,38.73,0,125.35,0,0,4.92,25.77,0,0,0.66,0,0,0,0,0,132.88,0.57,0.88,154.01,2318.3,0,174.03,5.83,0,0,0.57,1.65,0,6.38,0,0,152.03,0,0,0,1.12,7.14
 84-94,0,0,0,0,17.62,41.52,0,115.52,1.03,0,3.31,25.65,2.82,0,0,0.67,1.25,0,0,0,143.55,0,0.86,150.23,1489.49,4.66,155.61,10.29,0,3.32,2.54,0,0,0,0,0,124.58,0,0,0.93,0,0.55
 96-106,0,0,2.97,0,25.65,39.06,2.47,57.11,0,1.07,2.19,16.2,4.2,0,0,2.46,0.66,0,11.82,7.73,89.79,0,0,147.05,1293.95,0,317.61,0.98,0,0,5.3,0,0,5.89,0,0,27.51,0,0,0,2.62,10.59
108-118,0,0,1,0,7.91,31.95,0,67.59,0,0,3.21,14.07,1.98,0,0,1.1,2.57,0,0.51,0,96.82,0,1.25,145.85,1771.06,0,193.59,3.57,0,0,0,0,0,1.91,0,0,20.32,0.5,0,0,0,1.37
120,0,0,0,0,28,33.36,0,99.15,3.63,0,0,62.45,1.18,0,0,0,3.72,0,7.41,0,49.45,0,0,108.77,1879.33,0,180.04,6.37,0,2.03,2.05,2.5,0,0,0,0,29.45,0,0,1.78,0,0
