stage,axial,blastomeres,endocrine_pancreas,epidermis,eye,fin_epithelia,glial,gut,heart,immune,iridophores,liver,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,6.06,18.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.68,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,7.94,0,0,0,0,0,0,0,0,0,0,14.62,0,0,0,4.72,0,0,0,0,0,0,0
 14-21,0,0,1.69,0,0,0,0,0,0,0,0,0,0,0,0,6.28,0,0,0,0,0,0,13.72,0,0,0,0
 24-34,0,0,2.71,0.75,1.66,0,2.16,0,0,0,0,0,13.56,3.99,0,37.05,0,4.73,0,0,2.08,0,18.57,0,0,0,0
 36-46,0,0,2.92,0,2.63,0,0.72,0,0,0,0,1.62,35.06,1.67,0,109.42,0.66,7.47,0,0,0,0,28.16,0,0,0,0
 48-58,0,0,0.42,0.45,14.1,0,1.48,0,0,0,0,0,41.15,0.52,2.55,167.29,0,4.5,0,0,0,0,15.47,0,0,0,0
 60-70,0,0,0,1.02,40.89,0.64,8.17,0,0,0,9.24,0,19.99,1.96,0,161.26,2.36,3.81,0,0,0,0,17.66,0,0.85,0.91,0
 72-82,0,0,1.6,3.43,68.78,0,22.24,0,0,0,13.32,0,22.42,8.36,0,306.03,0.72,20.65,0,0,0,0,6.81,0,0,0.75,0
 84-94,0,0,7.88,9.39,55.27,0,25.71,0,2.4,0,12.14,0,37.44,0.75,0,223.78,5.99,2.35,0,0,1.7,0,12.85,0.58,0,0.6,0
 96-106,0,0,4.31,3.87,35.77,0,18.08,1.19,0,0,0,10.33,15.57,2.97,0,170.36,2.77,4.62,0.98,0,0,3.82,12.83,0,0,2.93,0.8
108-118,0,0,3.62,0.93,61.59,0,12.04,0,0,1.4,0.64,0.94,26.41,9.18,0,216.24,2.61,9.54,0,0,0,0,14.62,0,0,3.25,0
120,0,0,0,3.4,74.89,0,65.97,0,0,16.17,0,0,7.04,0,0,295.89,6.17,3.07,1.47,0,0,0,18.1,0,0,6.61,0
