stage,epidermis,eye,fin_epithelia,glial,gut,hatching_gland,immune,ionocyte,mesenchyme,mucous,neural,periderm,taste,vasculature,visceral_smooth_muscle
  7-9,0,0,0,0,0,0,0,0,0,0,7.91,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,7.8,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,1.28,3.92,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,2.62,50.97,0,0,0
 36-46,0,0,0.71,0,0,0,0,0,0,0,6.22,139.94,0,0,0
 48-58,0.41,0,1.25,0,0,0,0,0,0,0,1.03,85.95,0,0,0
 60-70,0,1.5,1.18,0,0,1.71,0,0,1.01,0,1.11,111.51,0,0,0
 72-82,3.29,0,0,0,0,0,0,0,0,0,3.18,80.98,0,0,0
 84-94,22.87,0,3.82,0,0,0,0,1.81,0,0,1.73,226.43,0,0,0
 96-106,37.82,1.52,7.06,0,0,0,0,0.99,0,1.36,6.73,497.44,0.79,0,6.68
108-118,48.8,5.89,7.84,1.39,0.48,0,1.5,7.03,0.97,4.74,7.9,604.34,1.91,4.42,0
120,6.6,0,1.18,0,0,0,0,2.35,0,1.11,24.74,217.96,6.52,0,0
