stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,0,215.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.81,302.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98.32,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,7.31,8.28,0,0,39.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165.88,4.91,0,46.29,0,0,0,0,0,0,0,0,0,0
 10-12,0,7.86,5.95,0,0,11.69,0,0,0,0,13.88,0,0,0,0,0,0,0,0,0,88.08,0,0,28.84,0,0,0,9.98,0,0,0,0,0,0
 14-21,0,0,0,12.07,3.8,8.57,0,0,1.78,0.82,1.11,0,0,0,0,0,0,13.18,0,10.03,78.37,2.56,1.97,5.72,0,0,20.69,0,5.06,15.24,34.87,0,0,0
 24-34,0,0,2.81,1.48,2.45,2.15,0,0,3.32,0,0,0,1.49,0,0.93,0.67,0,10.69,0,8.41,53.91,2.47,0.78,0,0,0,0,0.84,1.95,1.44,30.36,0,12.51,0
 36-46,0,0,0,2.36,0,22.48,2.87,0,4.52,0,0,0,0,0,0,0,0,18.61,0,5.8,51.4,5.95,0,0,0,0,0,0,0,0,13.88,0,0,0
 48-58,0,0,0,7.66,0,20.36,0,0.7,11.93,0,0,0,0,0,0,0,0,14.81,0,2.73,50.01,0,0.89,0,0,0.62,0,0,1.28,0,18.41,0,3.44,0
 60-70,0,0,0,0,0,23.23,0,8.36,10.88,0,0,0,0,0,0,0,0,29.31,0,2.59,33.83,0,0,0,0,0,0,0,0,0,6.47,0,0,0
 72-82,0,0,0,2.52,0,10.52,0,1.32,11.82,0,0,0,0,0,0.72,0,0,33.33,3.05,5.76,36.32,1.26,2.11,0,0,0.66,0,0,0,0,5.54,3.36,5.24,0.67
 84-94,0,0,0,2.04,0,14.15,0,0,17.14,0,0,0,0,0,0,0,0.56,21.01,3.6,1.53,38.28,0.56,0,0,0,0.56,0,0,0,0,0,0,0.94,0
 96-106,0,0,0,1.38,0.85,4.69,0,0,20.65,0,0,1.03,0,0,0,0,0,29.33,0,0,35.92,0,1.19,0,1.28,0,0,0,0,0,2.75,0,7.92,1.78
108-118,0,0,0,5.97,0,19.32,0,1.48,3.68,0,0,0,0,1.62,1.21,0,0,28.03,0,2.39,46.43,1.53,0.82,0,0,0,0,0,0.44,0,0,0,4.93,0.98
120,0,0,0,0,0,3.14,0,6.62,3.12,0,0,0,0,0,0,0,0,12.5,0,1.81,25.46,0,2.09,0,0,0,0,0,0,0,0,0,0,0
