stage,blastomeres,endocrine_pancreas,eye,fin_epithelia,glial,gut,heart,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,pericytes,spinal_cord,vasculature
  3-4,12.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,6.97,0,0,0,0,0,0,0,0,0,0,0,0,0,23.97,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.18,0,0,0,0
 14-21,0,0,1.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.96,0
 24-34,0,0.96,1.45,1.86,0,0,0,0,0,2.07,5.5,0,0,0.67,9.12,4.61,0,0,0
 36-46,0,0,0.82,0.74,0,0,0.72,0,0,0,2.37,0,0,0.78,3.47,1.3,0,0,0
 48-58,0,0,1.26,0.45,0,4.63,0,0,0.58,0,2.24,0,0,2.27,15.04,0,0.61,2.36,0
 60-70,0,0,6.03,1.96,0.79,0,0,0,0,0,2.07,0,0,0.97,11.6,0,0,0,1.07
 72-82,0,0,6.61,0,0.83,0.66,0,0,0,0,0,0,0,0,47.59,1.21,0,0,0
 84-94,0,0,26.32,0,0.56,0,0,0,0,0.58,0,0,0,2.47,37.7,0,0,0.62,0.69
 96-106,0,0,13.2,3.5,2.84,1.16,0,0,0,0,0,0,0,0,32.13,0,0,0,0
108-118,0,0,10.21,0,3.59,0,0,0.42,0,0.95,6.95,0,0,0,26.32,0,0,0,0.42
120,0,0,8.15,0,0,0,0,0,0,0,0,1.56,4.59,0,21.34,0,0,0,0
