stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,8.96,0,0,0,0,0,0,0,0,0,0,3.24,0,0,4.69,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.17,0,0,0,0,1.86,0.81,0,1.44,0,0,0,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,1.27,0,0,0,0,0,0,0,0,0,16.21,0,0,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0.68,0,0,0,0,7.52,0,0,0,0,0,0,3.98,0,0,0,0,9.76,0,0,0,0,0.81,0,2.01,0,0,0,0,0
 60-70,0,0,0,0,0,2,0,0,0,1.93,316.01,0,0,0,0,0,0,25,1.49,0,0,0,2.03,0,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,16.3,1.2,0,25.86,0,0,0,6.66,552.51,0,0,0,1.03,0,0.68,0,22.21,0.78,0,0,86.63,0,0,0,1.03,5.25,0,0,0,0.51,0,7.91,10.18
 84-94,0,0,1.53,4.75,0,27.62,9.11,0,0,1.38,3249.4,0,0,0,4.2,0,0,0,16.69,0,0.98,4.38,62.74,1.37,7.8,0,0,5.26,1.11,0,0,0.92,0.86,1.95,0
 96-106,0,0,10.32,26.99,1.99,97.31,0,0.83,5.56,20.6,4016.92,0,0,1.39,1,0.73,0,11.17,77.36,6.27,1.29,4.25,203.44,0,2.26,0,0,24.23,0,5.57,1.64,0,0,6.02,4.16
108-118,3.07,0.64,16.35,5.04,2.87,71.95,0,6.16,0.57,11.38,4808.05,0,0,8.44,4.36,0,0,3.65,45.04,0.48,6.42,4.98,145.68,0,1.24,0,1.06,9.61,0,2.47,3.05,2.08,0.53,0.74,0.65
120,1.22,0,18.25,0,1.6,55.41,0,0,0,5.52,1443.26,0,0,0,1.77,1.43,0,0,35.06,0,2.47,12.45,196.78,0,0,0,0,4.49,0,3.82,0,0,0,0,0
