stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,85.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.56,58.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,5.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90.89,0,0,0,22.42,0,0,0,12.48,0,0,0,0,0,0,0,0
 14-21,0,0,1.11,0,26.5,0.9,0,4.65,0,0,0,0,1,0,0,0,0,0,3.68,0,0,2.2,33.12,0,2.46,4.5,0.83,0,5.98,1.8,0,12.89,0,5.76,0,0,0,0,0
 24-34,0,0,0,2.08,3.58,0,0,1.37,2.23,0,0,1.83,0,1.24,0,0,3.68,0,9.03,0,0,13.95,150.87,0.62,0,6.64,0,0,1.9,0,3.03,7.2,0.75,21,0,0,2.15,0,0
 36-46,0,0,0,0,0,0,0,4.83,17.35,0,0.62,4.3,0.59,0,0,0,0,0,27.82,0.65,0,0.58,169.04,0.58,0,3,0,0,29.43,0,0,10.67,0,25.04,0,0,0.67,0,0.7
 48-58,0,0,0,0,2.7,0,0,51.82,15.63,1.75,1.68,9.22,0,0,0,0,0.44,0,27.42,0,2.52,5.47,352.16,2.93,0,4.03,0,0.56,17.74,0,0.65,15.94,0,35.36,0,0,1.16,0,0
 60-70,0,0,0,0,3.21,0,0,104.58,13.76,0,3.28,14.6,0,0,0,0,0,0,24.77,0,0.69,3.45,686.41,0,1.22,11.2,0,0,16.01,0,0.76,13.55,0,50.01,0,0,0.89,1.11,0
 72-82,0,0,0,0,2.18,0,0,112.59,18.28,0,3.77,11.03,0.7,0,0,0,1.46,0,26.32,0,1.12,8.2,1027.8,0,0.92,1.51,0,0,4.06,0,0,11.24,0,45.44,1,0.75,3.66,2.27,0
 84-94,0,0,0,0,7.33,0,0,120.06,15.89,0,0,18.81,5.92,0,0,0,12.32,0,23.3,0,0,7.45,543.2,0,0,3.37,0,0,10.12,0,0,14.27,0,36.02,1.57,0,2,0,0
 96-106,0,0,0,0,7.56,0,0,73.83,38,0.56,7.85,10.55,2.29,0,0.66,0,3.03,0,21.9,0,0,8.29,373.51,0,0,2.73,0,0,3.16,0,0.81,18.96,0,32.08,0.58,1.72,1.21,4.85,0
108-118,0,0,0.41,0,7.01,0,5.3,90.07,28.9,0,0.65,4.57,2.73,1.1,1.19,0.74,2.07,7.73,11.51,0,0,8.42,520.41,0,4.24,4.64,0,1.05,5.4,0,0,18.65,0,14.02,6.21,1.68,1.33,0,0
120,0,0,3.52,0,1.65,0,0,143.08,45.47,0,0,24.36,1.87,0,0,0,0,0,14.37,0,0,19.54,817.23,0,0,0,0,0,0,0,1.58,7.35,0,31.43,0,0,4.26,0,0
