stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,97.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.81,0,0,0,0,0,0,0,0,0
  5-6,14.65,192.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.08,7.94,0,0,0,0,50.54,0,0,0,0,0,0,0,0,0
  7-9,8.54,7.31,0,8.32,0,0,0,29.08,0,0,0,0,0,22.31,0,0,0,0,0,0,0,0,0,0,0,184.01,11.32,0,0,105.79,0,19.66,0,0,0,0,0,0,0,0,0
 10-12,0,4.52,0,0,0,0,0,8.05,0,0,0,0,0,28.7,0,0,0,0,0,0,0,0,0,0,0,204.22,3.62,0,0,82.05,0,23.29,6.56,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,22.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.81,0,0,0,0,0,26.59,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,390.62,0,0,6.48,0,19.05,0,1.05,0,0,0,33.21,2.41,0,0,11.07,0,11.45,34.07,0,14.13,101.59,0,1.57,0,0,0,1270.68,0,0,0.88,8.99,0,0,0.82,0,1.65
 36-46,0,0,0,0,2304.29,13.18,0,18.99,1.46,266.86,0,6.47,0,0,0,30.62,29.66,0,0,0,0,8.99,42.59,0,4.63,113.24,3.22,6.06,0.69,0,0,4428.88,0,0,0,31.99,0,0,15.63,0,6.39
 48-58,0,0,0,0,7777.17,4.71,0,131.57,0.4,865.01,2.03,49.39,10.73,1.19,0.69,31.03,38.32,0,2.61,2.56,5.2,41.22,77.31,1.38,7.83,461.98,5.78,0,5.79,0,0.56,8762.54,0,0,2.89,96.12,0,0,6.76,0,12.65
 60-70,0,0,0,0,9031.91,1.38,0,383.57,0.64,1496.56,1.67,58.38,1.35,10.56,0,12.42,148.07,3.7,2.74,6.27,9.95,90.61,180.58,10.31,7.64,707.17,0,1.69,8.12,0,1.44,30789.49,0,0,1.29,98.82,0,0,27.18,13.6,34.56
 72-82,0,0,0,0,6042.12,33.5,0,474.95,1.18,1590.37,28.33,84.23,7.88,0.5,3.5,24.78,446.07,25.4,10.16,4.61,6.43,194.56,356.84,13.41,30.67,1054.24,30.06,3.58,24.27,0,3.75,44901.96,1.65,1.53,10.82,94.95,34.59,6.59,36,9.02,74.98
 84-94,0,0,3.39,0,9256.99,64.42,0,461.5,24.41,3410.6,8.12,66.51,33.5,1.3,0,30.57,1193.38,4.4,3.92,4.46,0.83,204.59,709.64,18.53,18.18,840.29,16.38,5.24,6.3,0,6.92,104171.49,0,8.82,4.33,67.66,62.36,4.71,18.19,19.28,40.36
 96-106,0,0,2.95,0,10528.17,241.5,10.22,983.85,8.3,3188.8,21.18,288.62,55.94,0,4.79,40.62,1307.51,7.33,28.48,197.47,1.73,358.67,1137.31,20.86,22.52,1969.62,3.62,15.47,24.18,0,1.37,105052.07,0,17.18,24.76,88.4,32.08,11.95,86.98,15.58,55.38
108-118,0,0,0,0,8551.26,60.64,20.68,413.67,5.45,4178.34,26.49,120.74,15.56,0,3.25,37.55,1177.26,16.64,10.33,142.72,0.72,270.11,1163.03,8.83,23.72,1095.26,3.66,14.88,3.23,0,11.7,74402.61,0,5.17,0.6,27.37,14.71,5.19,27.5,23.01,11.42
120,0,0,0,0,10096.67,85.1,22.24,385.64,2.44,3586.68,18.85,110.89,25.55,0,4.21,78.16,789.48,5.74,7.04,7.89,0,168.25,929.85,29.96,31.06,1310.36,15.11,20.6,15.39,0,0,56225.5,0,4.05,1.21,19.2,0,0,8.83,19.94,0
