stage,erythrocytes,eye,fast_muscle,immune,mesenchyme,muscle,neural,otic,periderm,slow_muscle,spinal_cord
 14-21,0,0,0,0,0,0,0,0,0,8.11,0
 24-34,0,11.73,0,0,0.6,2.25,3.02,0,0,1.31,0
 36-46,0,0,10.48,0,0,0,3.46,3.85,0,0.82,0
 48-58,0,0.91,4.4,0,0,0.58,2.34,0.53,0,0.86,0
 60-70,0,2.71,1.25,0,0,0,3.8,0,0,0,2.54
 72-82,0,0.69,3.48,0,0,0,3.48,0,0,0,0
 84-94,4.14,0,4.14,0,0.8,1.88,0,0,0,0,0
 96-106,10.93,0.7,1.88,0.88,1.93,0,0,0,0.64,0,0
108-118,0,2.28,1.95,0,1.49,0,0.71,0,1.81,1.02,0
120,0,0,4.17,0,0,18.25,8.67,0,0,1.21,0
