stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,3371.16,66162.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2321.25,0,0,0,0,0,0,0,0,0,0,0
  5-6,2628.22,25906.36,0,21.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,605.05,28.39,0,0,21.88,264.83,0,0,0,0,0,0,0,0,0,0,0
  7-9,57.8,62.69,0,39.84,0,0,23.01,0,0,0,0,0,55.02,0,0,0,0,0,0,0,0,0,0,0,1112.42,52.33,0,0,329.53,0,565.01,0,0,0,0,0,0,0,0,0,0
 10-12,0,13.07,0,31.27,0,0,21.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,331.16,80.45,0,0,219.96,6.22,314.92,4.19,13.98,0,0,0,0,0,0,0,0
 14-21,0,0,0,2.52,27.44,0,7.9,0,0,0,6.6,0,0,0,0,0,0,0,0,0,4.13,0,0,3.05,214.19,47.33,19.98,1.48,0,1.11,41.77,5.8,0,10.34,24.18,184.92,0,0,0,0,0
 24-34,0,0,0.96,1.4,6.04,0,28.46,10.16,0,0.69,16.92,0,0,14.58,5.65,5.06,0,0,0,0,24.71,0,0,18.35,942.12,0,80.35,18.17,0,1.8,1.72,0,4.78,108.66,21.22,541.89,0,0,5.91,0,0
 36-46,0,0,0,0,0.6,0,87.94,33.22,0,0.75,20.12,0.61,0,5.37,9.9,0,0,0,0.85,0,9.37,0.99,0,3.26,1515.63,1.72,50.99,3.94,16.41,7.46,0,0,0.6,139.07,0.56,449.26,0,0,0.87,0,0
 48-58,0,0,0.42,0,10.65,0,207.38,20.73,5.07,0,17.29,0,0,0.38,10.14,0,0,0.4,1.98,0,11.43,0,0.6,6.21,1406.48,0,15.02,15.1,0,2.17,0,0,1.81,103.91,0,234.28,0,0,0,0,3.22
 60-70,0,0,10.91,0,17.16,0,915.29,7.18,1.77,0.81,34.45,0,0,1.7,9.82,10.12,0,3.17,0,0,12.26,0,0,6.06,1487.82,1.34,2.92,38.95,0,3.71,0,0,1.89,44.47,0,197.47,0,40.68,0,0,7.51
 72-82,0,0,0,0,1.56,1.82,1368.38,9,0,0.94,26.67,0.63,0,0.65,10.43,0,0,3.54,0,0,12.46,0,0,4.59,1031.47,0,8.35,12.19,0,0,0,0,3.35,27.82,0,71.01,0,88.73,2.67,0,5.74
 84-94,0,0,0,0,11.11,8.96,1497.99,3.88,15.04,0,29.61,0,0,0.76,24.27,1.33,0,2.33,0,0,15.99,0,0,5.71,778.03,0,11.41,39.66,0,0,0,0,4.45,17.16,0,39.49,0.63,114.74,1.7,1.54,0
 96-106,0,0,0,0,5.11,3.67,1304.48,16.68,0,0,29.39,0.93,0,0.58,29.41,1.55,2.14,8.64,6.48,0,11.25,0,0,2.43,535.24,0,0.87,36.55,0,5.9,0,0,2.72,27.87,0,16.1,0,164.32,1.31,2.56,11.07
108-118,0,0,3.86,0,8.5,8.18,1008.12,15.41,3.42,0.74,16.83,1.83,0,0,25.45,1.09,0,4.91,5.19,0,14.24,0,1.55,4.81,501.52,2.86,12.7,27.29,0,6.38,0,0,8.66,9.96,0,3.88,2.76,295.63,0.5,0,0
120,0,0,0,0,3.79,0,812.7,3.93,4.03,0,9.95,0,0,0,24.52,0,0,3.07,0,1.51,13.29,1.47,0,6.79,665.31,0,21.92,39.56,0,16.79,0,0,6.97,1.64,0,3.4,6.92,95.83,1.59,0,0
