stage,axial,blastomeres,eye,mesenchyme,mucous,muscle,neural,olfactory,paraxial_mesoderm,periderm,spinal_cord
  3-4,33.1,463.1,0,0,0,0,0,0,0,63.04,0
  5-6,0,14.26,0,0,0,0,7.33,0,0,0,0
  7-9,0,0,0,0,0,0,12.41,0,4.19,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0.88
 24-34,0,0,0,0,0,0,1.21,1.18,0,0,0
 36-46,0,0,0,0,0,0,0.85,0,0,0,0
 48-58,0,0,0.79,0,0,0,0.46,0,0,0,0
 60-70,0,0,6.08,0,0,0,2.82,0,0,0,0
 72-82,0,0,0.79,0,0,0.51,0,0,0,0,0
 84-94,0,0,4.58,0.86,0,0,0,0,0,0,0
 96-106,0,0,1.94,0,1.08,0,1.18,0,0,0,0
108-118,0,0,0,0,0,0,2.99,0,0,0,0
120,0,0,5.79,0,0,0,0,0,0,0,0
