stage,eye,immune,ionocyte,mesenchyme,neural,taste
 84-94,0,0,0,1.47,0,0
 96-106,0,0.86,0.73,1.8,2.08,1.85
108-118,2.29,0,0,3,0,0
120,4.77,0,0,0,2.8,0
