stage,axial,blastomeres,glial,mesenchyme,neural,periderm
  3-4,17.01,172.38,0,0,0,11.27
  5-6,0,60.65,0,0,0,0
  7-9,0,0,0,0,14.12,0
 36-46,0,0,0,1.62,0,0
108-118,0,0,0.71,4.47,0,0
120,0,0,0,0,8.92,0
