stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,6.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,4.72,0,0,0,0,0,0,0,0,0,0,3.86,0,0,0,3.89,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64.96,5.7,0,0,36.66,0,0,0,5.34,0,7.77,0,0,0,0,0,0
 14-21,0,0,2.9,0.83,0,3.58,0,0,0,318.42,0,0,0,1.91,2,0,0,0,0,15,0,11.19,223.86,0.99,0,0,0,0,0,13.21,0.85,7,30.91,595.28,0,0,0,0,0
 24-34,0,0.7,8.89,0,0,15.65,0,0.62,0.74,438.38,0.61,0.74,2.96,0,0.6,3.74,1.23,0,0,78.4,0,30.48,463.54,1.99,0,0.83,0,0,1.52,0,0,3.72,3.35,1428.56,0,0,0.77,0,0
 36-46,0,0.96,1.54,0.76,0,11.12,0,2.73,6.55,297.19,0,0.76,0.6,0,0,0,0,0,0,131.21,1.78,17.94,319.51,1.44,1.14,0,0,0.97,0,0,0,0,0,1127.33,0,0,0,0,0
 48-58,0,0,3.33,0,0,26.2,2.59,12.66,11.57,327.82,0,0,1.44,0,0,0,0,0,0.79,106.63,8.08,16.18,322.93,6.94,1.36,0,0,0.53,3.22,0,0,0,0,713.57,0,0.85,2.8,0,4.13
 60-70,0,0,0.9,0,0,19.93,0,26.93,24.05,309.58,0,0,0,0,0,0,0,0,0,159.45,0,20.02,88.99,1.33,0,0.61,0,0.84,1.35,0,0.73,0,0,273.01,0,1.68,1.83,0.98,0
 72-82,0,0,2.38,12.55,0,30.54,0.53,3.1,28.31,384.19,0,0,1.64,0,0,0,0,0,0,347.07,4.42,14.38,76.92,2.73,0,0.49,0,4.8,0.93,0,1.25,0,0,56.2,0,7.46,1.59,2.34,8.38
 84-94,0,0,4.93,0,0,41.02,0,20.08,19.1,225.71,0,0,1.01,1.12,0,0,0,0.57,10.35,366.1,11,7.94,27.24,2.97,0,0,0,4.95,0.75,0,1.7,0,0,75.37,0,6.62,3.26,0,0
 96-106,0,0,12.09,0,0.66,12.72,0,14.21,14.99,225.89,0,0,0.71,1.21,0,0,2.05,0,0,251.08,11.66,20.21,39.75,0.73,0.56,2.25,0,0,0.62,0,0,0.81,0,24.87,0,4.49,1.31,9.9,0
108-118,0,0,4.57,0.89,0,22.77,0.56,50.02,14.93,199.53,2.17,0,5.61,0,0,0.67,0.48,0,0,250.86,13.44,20.57,57.49,3.02,0,1.12,0,21.91,0,0,3.17,0,0,53.21,1.08,5.33,1.12,5.23,1.74
120,0,0,12.38,0,0,24.54,0,41.51,10.82,137.89,0,0,0,9.13,2.8,0,0,0,0,342.95,3.21,16.31,36.65,4.99,0,0,0,6.67,0,0,0,0,0,4.49,0,0,0,30.58,0
