stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,glial,gut,immune,mesenchyme,mural_cell,muscle,neural,olfactory,otic,pronephros,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  5-6,16.65,0,0,0,0,0,0,0,0,0,0,14.14,0,0,0,0,0,0,0
  7-9,0,0,0,0,12.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,6.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.22,0,0,1.22,0,0,0.81,0,2.58,11.69,2.77,0,0,12.04,0,0,0
 24-34,0,0.71,0,0,0.71,1.64,0,0,0.75,0,0,69.9,1.23,0.73,0,15.23,0.68,0,0
 36-46,0,0,0,0,1.61,0.6,0,0,1.2,0,0,134.43,3.55,0,1.53,26.9,0,0,0
 48-58,0,0,0,0,9.88,0,0,0,1.75,0,0.94,177.05,0,0,0,16.21,1.04,0,0.63
 60-70,0,0.86,0,0.68,55.04,2.63,0,0,3.78,0.63,2.62,381.09,0.84,0,0,36.1,0,0,0
 72-82,0,0.79,0,0,101.35,4.9,0,0,6.85,6.42,0,570.31,0,0,1.4,39.96,0,0,0
 84-94,0,0,1.17,0,70.24,2.8,0.68,1.97,7.97,0.58,0,295.27,0,0,1.09,7.54,0,0,0
 96-106,0,0,0,0,131.62,11.21,0,0.95,5.19,13.5,0,242.25,0,0,0,15.56,0,0,0
108-118,0,0,4.02,0,98.87,5.49,0,0,4.63,6.86,0,287.17,0,0,0,5.14,0,1.77,0
120,0,0,3.32,0,80.98,10.46,0,0,1.89,16.34,0,506.74,0,0,0,38.94,0,0,0
