stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,pronephros,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.35,173.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.29,0,0,0,0,0,0,0,0
  5-6,0,106.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.31,0,0,0,7.33,0,18.61,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,7.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.73,5.93,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.89,1.1,0,0,0,0,0,0,0,0,0,0,0.97,0,0,0,0,2,0,0,36.94,0,0,0.81,0,0.87,0,0,1.84,7.76,0,0,0,0
 24-34,0.88,0,2.51,0.65,4.27,0,6.43,0,1.01,0,2.67,0.77,0,0,7.95,1.66,0,0,0,0,6.89,0,2.82,76.44,0.61,0.88,1.17,0,6.97,0,0,0,16.51,0,10.19,0,0
 36-46,0,0,0,0,0,0,22.69,0,0,0,0,0.56,0,0.68,1.14,0,0,0,0,0,17.77,0,2.05,72.54,0,0.72,0,0,2.84,0.65,0,0,19.23,0,0.65,0,0
 48-58,0,0,0,0.94,0,0,33.45,0,0,0.93,5.27,0,0,0,1.39,4.34,0,0,0,0,12.92,0,3.75,71.2,1.24,0.85,0,0,0.86,0,0,0,22.18,0,0.5,0,0.74
 60-70,0,0,0,0,0,0,37.7,0,0,0,0,0,5.24,0,0,0,0,0,0,0,14.81,1.3,0.6,54.3,0,0,0,0,6.74,0,0,0,6.24,0,0,0,0
 72-82,0,0,0,1.99,0.86,0,51.11,0,0,1.25,3.84,0,0.52,0,5.83,0,0,0,1.61,1.89,17.51,0,0.51,62.36,0.5,0,0,0,2.49,0,0,0,8.48,0,1.34,0,0
 84-94,0,0,0,1.18,1.3,0,29.8,0,0,0,4.93,0,0,0.82,0.77,0,1.49,0.6,0.57,1.74,3.59,0.78,0,25.7,1.75,0,0.62,0,5.22,0,0,0,0,0,2.94,1.59,0
 96-106,0,0,0,2.13,0,0,10.23,0.57,1.81,1.83,6.09,1.28,0,0,4.97,0,1.9,1.07,0.81,0,5.04,0,0,28.73,0.62,0,0,0,8.55,0,0,0,0,0,1.54,0,0
108-118,0,0,0,4.68,0,0.52,26.57,0,0.98,0,2.91,0.53,0,0,4.78,0,0,0,3.53,1.02,3.64,2.1,0.91,27.41,0,1.18,0,0,3.49,0,0.51,0,0.65,0,11.21,0,0
120,0,0,0,10.66,0,0,8.1,0,0,0,7.2,1.46,0,0,7.6,0,0,0,2.32,0,30.71,0,3.2,38.52,1.25,0,0,0,2.58,0,0,0,0,1.81,2.91,0,0
