stage,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,iridophores,mesenchyme,mural_cell,muscle,neural,notochord,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,61.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,10.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
 14-21,0,1.4,1.18,0.81,0,0,0,0,0,0,1.2,0,0,13.1,2.04,1.77,0.88,0,1.01,0
 24-34,0,0,0,0,0.82,0,0,0,0,0,3.67,0,1,3.76,0,0,1.56,0,3.92,0
 36-46,0,0.55,0,0.64,0,4.26,0,0,0,0,0.66,0,0,8.13,0,0,0,0,0.6,0
 48-58,0,0,0,5.22,0,0,1.96,0,0.9,0,1.94,0,0,3.01,0,0,0.89,0,1.33,0
 60-70,0,0,0,10.14,0,0,0,0,0,0,4.93,0,1.2,12.18,0,0,0,0,0.72,0
 72-82,0,0,0,15.22,0,0.62,0.85,0,0,0,3.83,4.32,0,15.61,0,0,0,0.52,4.55,0
 84-94,0,0,0,2.02,0,0,0,0,0,1.97,2.05,0,0,4.54,0,0,0,0,3.63,0
 96-106,0,0,0,11.54,0,0,0,0,0,0,2.73,0,0,15.42,0,0,0,0,1.56,1.49
108-118,0,0,0,0,0,0,0,3.33,0,0.64,2.44,0,0,2.91,0,0,0,0,3.32,0
120,0,0,0,0,0,0,0,0,0,0,0,0,0,15.8,0,0,0,0,3.67,0
