stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,9.74,195.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.43,0,0,0,0,0,0,0
  5-6,0,107.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,4.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.89,0,0,0,17.45,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.33,8.6,0,0,3.8,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.93,0,0,12.13,0,0.86,0.95,0,9.18,1.73,0,1.93,0,0,0,0
 24-34,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.62,26.28,0,1.35,0,0,2.49,0,0,11.82,0,0,0,0
 36-46,0,0,0,0,0,0,6.4,0,0,0,0,0,0,0,0,0,0,0,5.99,0,1.16,82.43,0,0,0,0,0,0,0.7,17.83,0,0,0,0
 48-58,0,0,0,0,0,0,28.77,1.03,0,1.96,0,2.85,0,1.54,0,0,0,0,2.21,0,2.19,42.02,0,0,0,0,17.94,0,0,11.52,0,0,0,0
 60-70,0,0,0,0,0,0,25.61,1.4,0,0,0,2.16,0,2.47,0,0,0,0,0.8,0,0,12.6,0,0,0,0,89.55,0,0,7.03,0,0,0,0
 72-82,0,0,0,5.06,0,0,4.48,0.53,0,0,0,0.58,4.02,0.52,0,0,0,4.09,1.88,5.61,0,35.54,0,0,0.56,0,187.71,0,1.5,5.68,0,0,0,2.27
 84-94,0,0,0.74,19.73,0.61,0,11.93,2.59,0,0,0,3.18,0,7.66,0,0,0,0,8.06,3.05,0,14.81,0.99,0,0,0,700.99,0,0,4.36,0.61,0,0,0
 96-106,0,0,0,49.99,0,0.66,13.03,6.08,6.94,6.39,0,0,15.08,14.77,0,0,7.38,0,10.3,7.09,2.33,36,0,0,0.67,0,808.46,0,0,7.42,5.55,0,0,0
108-118,0,0,0,104.5,2.63,0,19.47,19.45,0.65,5.02,2.21,0,27.38,52.91,2.83,1.43,1.84,0,9.71,23.94,1.14,58.83,1.15,1.82,0,0,1452.38,0,0,0,3.25,0,0,4.22
120,0,0,0,108.93,0,0,19.57,10.43,0,3.44,9.76,0,48.16,19.24,0,0,3.79,0,2.35,9.39,0,42.59,0,0,0,0,611.94,0,0,0,1.9,14.22,3.69,0
