stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature,xanthophores
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.56,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.37,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.01,0,0,0,0,0
 14-21,0,0,0,0,0,0.88,0,1,0,0,0,0,0,0,3.97,0,2.83,0,1.3,3.36,0.9,0,0,0,0,4.71,0,8.52,8.16,0,0,0
 24-34,0.84,0.68,0,0,1.89,0,1.24,0,0,0,0,3.94,0,0,1.51,0.94,3.27,0.61,0.73,10.83,0,0,0,0,2.45,0,0,0.74,20.93,0,2.01,0
 36-46,0,0,0,0.71,4.84,0,0,0.77,0,0,0,0,0,0,0,0,3.27,0,1.19,4.84,0,0,0,0,4.26,0,0,0,3.53,0,0,1.87
 48-58,0,0,0.45,0,8.91,0,0.46,0.49,0,0,0,5.92,0,0.48,0,2.11,0.41,0,1.05,5.77,0,0,0,0,2.22,0,0,0,3.88,0,0,0.91
 60-70,1.1,0,0.8,0,8.59,0,0,0.99,0,0.6,0,0,1.14,0,14.52,0,4.22,0,0,12.41,0,0,1.42,0,2.25,0,0,0,0,0,0,0
 72-82,0,0,5.19,0,8.85,0,0,1.63,1.36,0,0,0.66,0,0,0,0,1.84,0,0,20.9,0,1.22,0,0,4.04,0,0,0,0.85,0,0.72,0.55
 84-94,0,0,0.57,0,3.43,0,3.15,1.94,0,0,0,0.62,0.7,0,0,1.13,0,0,0,1.02,0,0,0,0,14.35,0,0.6,0,0,1.53,0,0
 96-106,0,0,0,0,0.56,0,0,1.63,0,0,3.74,0,0,0,0,0,0.87,0,0.7,4.11,0,0.58,0,0,6.26,0,0,0,0,0,4.09,1.24
108-118,0.72,0,2.6,0,1.71,0,0,0.85,0,0,0,0,0,1.6,0,0,0,0,0,2.76,0,3.49,1.23,0,7.26,0,0,0,0,0,1.24,0
120,0,0,5.58,0,0,0,0,1.26,0,0,0,0,0,0,0,0,0,0,0,13.79,0,1.26,0,0,8.77,0,0,0,0,0,0,3.58
