stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,50.74,419.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,29.34,623.74,10.68,0,0,0,0,0,0,11.6,0,0,0,0,0,0,0,0,47.13,0,0,0,7.11,18.27,0,0,0,0,0,0,0,0,0,0
  7-9,5.17,31.16,40.8,0,0,127.36,0,0,0,20.42,0,0,0,0,0,0,0,0,884.75,24.04,0,0,266.81,0,7.87,0,0,0,0,0,0,0,0,0
 10-12,9.78,17.9,52.66,0,0,130.97,0,0,0,46.23,0,0,0,0,0,0,0,0,762.2,42.99,0,0,201.53,0,10.78,0,35.22,0,9.49,0,0,0,0,0
 14-21,0,0,0,6.29,0,0.9,0,3.06,0.85,0,0,0,0,0,0,3.14,0,1.17,32.19,0.81,0,0,0.87,0,0,2.92,0,0,2.61,8,0,0,0,0
 24-34,0,0,0,2.69,0,6.92,0,1.4,0.85,0,0,0,0.71,0.61,0,5.6,0,1.81,81.46,0,0.86,1.5,0,4.62,0,1.03,0,0,0,9.57,0,7.51,0,0
 36-46,0,0,0,4.05,1.22,11.44,0,6.5,0,0,0.73,0,0,0,0.59,12.06,1.06,2.59,57.18,0,0,2.17,0,2.67,0,0,0,0,0,25.76,0,0.86,0,0
 48-58,0,0,0,2.6,0,26.36,0,4.86,0,0,0,0,4.95,0,0,4.31,0,0,94.2,0,0,0,0,4.6,0,0,0,0,0,19.39,0,1.03,0,0
 60-70,0,0,0,0,0,29.23,2.44,1.59,0,0,0,4.72,0,0,0,8.43,0,0,56.28,0,0.75,0,0,5.23,0,0,0,0,0,6.54,0,0,0,0
 72-82,0,0,0,0,0.6,22.5,0.53,4.8,0,0,0.81,1.23,0,0,0,28.61,1.42,0,53.58,0,0,0.76,0,3.24,0,0,0,0,0,2.39,0.99,2.66,1.13,0
 84-94,0,0,0,1.24,0,33,0.63,2.65,0,0,0,0.74,0.68,0,0,10.62,9.44,0.79,38.79,0,0,5.76,0,1,0,0,0,0,0,6.3,0,1.21,0,0
 96-106,0,0,0,2.46,0,8.72,0,2.97,0,0,0,0,0,1.64,0,10.73,1.24,1.65,21.48,0.75,0,0,0,1.35,0,0,0,2.52,0,8.94,0,0,0,0.8
108-118,0,0,0,2.11,0,14.47,0,0,0.86,0,0,0,0,0,0,7.74,0,0,32.12,0,1.19,0.43,0,5.42,0,0,0,0,0,4.15,0,0,0,0.65
120,0,0,0,0,0,8.18,0,18.73,0,0,0,1.19,0,0,0,4.95,0,0,24.79,0,0,0,0,0,0,0,0,0,0,0,0,0,4.52,0
