stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  5-6,0,25.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,9.45,0,0,0,0,0,0,0,0,0,0,0,14.42,0,0,0,0,0,0,0,0,0,0,3.45,3.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,34.66,0,0,0,0,0,0,0,0,0,0,19.91,0,0,0,9.98,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,2.07,4.4,0,0,0,0,0,0,0,10.2,0.89,0,0,0,0,0,13.68,0.95,0,13.57,62.68,1.75,0,0,0,0,0,8.23,5.92,8.09,8.33,4.17,0,0,0,0
 24-34,0,0,0,2.9,0,0,3.27,1.94,0,0,1.18,0,0,2.39,0,0,0,0,0.69,28.14,0,0,13.55,82.43,0,0,0,0,1.65,0,0,7.54,13.69,6.17,6.21,0,0,24.15,0
 36-46,0,0,0,0,0,0,0,6.67,0,0,1.24,0,0,0.9,1.03,0,0,0,0,24.66,0,0,8.37,45.52,0,0,0.57,0,2.62,0.81,0,4.39,3.02,0,0,0,0,19.9,0
 48-58,0,0,0,0,0,0,21.69,8.8,0,0.56,5.92,0,0,0,0,0,1.16,0,0,7.93,0.59,0,3.36,27.83,0,0.37,1.82,0,1.01,0,0,1.09,0.5,0,1.99,0,0,15.67,0
 60-70,0,0,0,0.71,0,0,17.48,14.57,1.18,8.38,12.08,0,0,0,0,1.16,2.91,0,0,26.29,0,1.63,1.76,35.73,2.66,0,1.16,0,0,0,0,0,1.33,0,10.42,0,0,7.36,0
 72-82,0,0,0,0,0,0,15.83,9.09,2.07,6.07,6.3,0.74,0,0,1.67,2.88,0,0,0,16.47,0,0,0.63,45.7,0,0,0,0,0,0,0,3.22,0.53,0,2.1,0,0,4.84,0
 84-94,0,0,0,3.23,0,1.17,12.86,4.99,0,2.72,7.2,0,0,0,0,5.32,0.66,0,0,12.55,0.65,0,0.87,45.34,0,0,1.55,0,0,0,0,4.2,0,0,0,0,0,7.26,1.34
 96-106,0,0,0,0.71,0,0.56,19.94,3.33,1.24,1.65,0.92,0,0,0,0,9.09,10.5,8.71,0,18.33,0,1.58,0,34.49,1.15,0.75,6.18,0,0,0,0,2.67,1.24,0,1.67,0.56,0,8.89,0
108-118,0,0,2.07,1.59,0,2.26,7.98,6.9,0,1.23,0.7,0,0,0,3.47,3.59,1.18,0.61,0,5.68,0,0.56,3.83,37.48,0,0.99,3.23,0,3.14,0,0,1.54,0.52,0,0,0,1.66,26.29,0
120,0,0,0,2.27,0,0,12.74,3.93,0,0,6.33,0,0,0,0,0,0,0,0,0,0,0,6.23,110.34,0,0,6.74,0,5.36,0,0,0,0,0,3.3,0,0,18.9,0
