stage,axial,blastomeres,erythrocytes,eye,glial,mesenchyme,muscle,neural,paraxial_mesoderm,periderm,spinal_cord
  3-4,10.19,43.95,0,0,0,0,0,0,0,0,0
  5-6,0,61.54,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,13.86,0,0,0
 10-12,0,0,5.1,0,0,0,0,3.4,7.79,0,0
 14-21,0,0,0,0,0,0,0.81,0,0,0,0
 24-34,0,0,0,0,0,0,0,0.73,0,0,0
 36-46,0,0,0,1.14,0,0,0,0.76,0,0,2.27
 48-58,0,0,0,0.56,0,0,0,0,0,0,0
 60-70,0,0,0,2.17,0,0,0,14.99,0,3.12,0
 72-82,0,0,0,0,0,0,0,1.42,0,0,2.78
 84-94,0,0,0,0,5.58,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,6.24,0,0,0
108-118,0,0,0,3.96,0,0.99,0,8.01,0,0,0
