stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,37.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,67.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,62.11,0,0,0,0,0,0,0,0,0,0,12.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,62.63,0,0,0,0,0,0,0,0,0,0,285.56,4.45,0,0,26.05,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,195.78,0,0,0,15.22,0,1.32,0,0,0,0,0,0,0,0,6.38,1.19,0,12.01,21.56,0,0,0,0.82,0,0,0,27.6,0,0,126.64,2.7,0,0,0,0,0
 24-34,0,0.7,436.81,0,4.05,0,97.01,24.06,1.53,0,0,2.52,0,0,0,0,0,43.17,5.74,0,76.78,37.71,0,1.24,0,0,0,3.72,0,2.26,0,0.95,141.4,14.09,0,0,20.49,0,0
 36-46,0,0,463.17,0,1.24,0,208.54,21.1,0,0,0,0,0,0,0,0,0,30.21,0.65,0.88,33.24,36.36,0.56,4.29,0,0,0,3.56,0,1.63,0,0,0.83,20.32,0,0,27.72,0,0
 48-58,0,0,333.33,0,8.07,0,139.01,10.93,1.22,4.82,0,0,0.79,6.97,0,0,0,77.54,3.05,12.44,13.52,71.62,0,0.82,0,0,0.39,0.39,0,0,0,0,0,16.94,0,1.66,48.21,0,0
 60-70,0,7.97,357.55,0,27.93,0,189.64,20.69,0.82,25.51,0,2.19,0.95,6.95,0,0,0,66.02,0,40.67,4.74,41.86,0,0.89,0,0,0,4.03,0,0,0,0,0,15.45,1.22,20.03,33.01,5.2,0
 72-82,0,3.31,165.38,0,33.73,0.59,88.83,3.14,1.22,43.08,0,1.47,0.59,0,0,0,0,108.08,0.73,52.32,4.85,49.48,0.5,2.31,0,0,0,4.24,0,0,0,0,0,4.73,4.31,24.31,65.74,51.77,0
 84-94,0,0,277.67,0,28.8,0,84.11,16.4,1.61,89.55,0,0,0.56,7.24,0.62,0,0,126.87,1.56,78.1,5.71,26.65,0,0.57,0,0,0.79,7.17,0,0,0,0,0,6.79,46.16,24.97,84.11,89,0
 96-106,0,0,147.79,19.78,48.32,0,59.2,18.58,9.68,57.3,0,3.26,0.66,7.04,0,0,8.03,138.14,5.3,52.62,3.82,59.55,1.74,8.48,0,0,3.42,8.7,0,0,0,0,0,5.73,66.96,24.11,112.25,64.36,10.28
108-118,0,0.74,261.12,1.3,20.15,0,117.22,15.86,6.23,103.7,0,3.73,8.32,10.32,0,0,2.99,176.44,0.54,72.78,9.18,38.39,16.4,3.56,0.8,0,6.16,8.18,0,0,2.19,0,0,2.14,97.15,37.47,162.67,59.33,0
120,0,0,211.14,7.49,31.66,0,63.42,1.69,21.99,45.38,0,4.21,39.23,9.01,11.36,1.84,0,230.19,0,75.16,21.6,84.44,30.68,1.62,0,0,0,0,1.53,0,0,0,0,4.72,88.52,26.71,185.65,61.74,0
