stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,60.47,2643.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146.88,0,0,0,0,0,0,0,0,0,0,0
  5-6,85.75,1833.71,0,6.55,0,0,0,0,0,0,0,0,0,14.89,0,0,0,0,0,0,0,0,0,0,112.63,20.94,0,0,20.31,0,32.25,0,0,0,0,0,0,0,0,0,0,0
  7-9,95.02,69.15,0,225.21,0,0,0,204.01,0,0,0,0,0,82.73,0,0,0,0,0,0,0,0,0,0,1661.7,86.67,0,0,1178.79,0,0,21.63,0,0,0,0,0,0,0,0,0,0
 10-12,3.8,50.41,0,104.15,0,8.88,0,87.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1209.3,65.32,0,0,1079.11,0,0,12.46,17.83,118.27,0,5.88,0,0,0,0,0,0
 14-21,0,4.89,0,6,142.02,222.27,0,20.03,0,3.79,0,16.89,4.26,0,5.69,0,0,1.73,0.92,0,0,56.1,0,25.41,285.41,26.77,4.23,4.65,7.42,0,3.96,1.12,186.63,15.41,4.42,133.35,156.86,0,0,66.93,0,0.84
 24-34,0,0,0,3.44,73.87,12.46,0,24.17,1.2,59.33,3.29,38.29,0.77,0,12.01,0.62,0,0,0.63,6.72,3.33,141.41,0.89,70.63,447.87,44.45,2.48,5.57,0,0,0.97,0,2.17,8.32,2.11,27.3,173.24,0,0,256.03,0,7.2
 36-46,0,0,0,0,10.9,2.11,0,33.86,3.14,43.61,20.05,26.23,0,0,10.72,0.57,0,2.3,1.37,5.51,1.58,283.62,8.76,74.23,360.28,24.9,1.31,6.96,0,0,5.09,0,0,7.41,1.69,1.09,113.35,0,0,193.15,1.55,4.49
 48-58,0,0,0,0,11.56,0.59,0,38.79,0.56,45.83,7.69,51.34,0.49,0,6.41,0,0,2.27,0,0,5.15,381.07,9.15,63.38,203.33,38.91,2.56,8.64,0,0,0,0,0,0.79,0,0,78.25,0,0.42,170.97,0,9.54
 60-70,0,0,0,0,2.86,4.64,0,57.1,1.51,42.44,7.67,86.92,1.91,0,2.95,7.02,0,0,2.2,0,0.59,538.84,14.75,58.47,178.2,4.05,0,6.39,0,1.92,1.46,0,0,4.41,4.7,0,31.7,0,1.25,117.85,0.77,5.55
 72-82,0,0,0.57,0,10.53,0,0,43.55,10.87,20.08,9.23,240.59,0,0,17.23,1.38,1.07,1.29,1.06,2.89,0,559.98,14.26,26.45,166.35,2.22,0.97,6.67,0,1.65,1.64,0,0,0,0,0,15.09,0,5.77,214.65,9.75,4.22
 84-94,0,0,4.46,0,23.87,7.32,1.39,49.53,2.69,54.4,3.74,202.75,5,0,3.61,4.49,0.71,0,0,0,4.39,508.64,13.77,24.29,154.86,2.71,0.71,4.2,0,7.75,9.17,0,0,2.79,1.25,0,5.68,4.84,7.95,212.06,4.24,0.7
 96-106,0,0,0,0,24.27,13.4,0.98,48.49,12.05,40.37,2.63,555.73,9.06,0,11.4,4.74,0.85,3.31,0.78,15.37,0,373.47,9.6,25.34,189.3,5.4,1.34,4.6,0,8.03,1.88,3.82,0,2.45,0,0,7.36,0,4.75,191.33,5.76,2.39
108-118,0.56,0,0,0,19.03,5.76,7.77,36.05,3.24,65.85,4.69,375.1,3.33,0,13.41,6.52,2,6.04,0,0.43,0.82,333.77,7.93,28.7,125.44,0.56,4.68,3.6,0,3.57,2.42,0,0,0.64,0.56,0,0,0.52,3.31,142.9,0.77,1.48
120,0,0,0,0,36.76,17.1,0,39.76,6.39,35.52,5.39,413.88,10.57,0,14.3,4.49,0,11.68,0,0,0,261.06,15.6,32.98,136.04,3.67,0,3.95,0,13.66,10.92,0,0,0,1.63,0,5.39,0,3.47,247.87,8.01,0
