stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,18.49,0,0,0,0,3.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,2.94,0,0,99.54,0,0,0,1.23,0,0,0,0,0,0,0,0,0,0,0,0,0,29.76,0,0,0,0,0,0,0,0.91,3.7,0,0,0,0,0
 24-34,0,0,0,0,1.4,0,312.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,26.46,0,0,0,0,0,0,0,0,3.5,0,0,0,0,0
 36-46,0,0,0,1.62,6.44,0,3909.17,0,0,0,0,0,0,0,0,0,0,2.1,10.99,0,0.66,0,0,1,143.2,4.82,0,0,0,0,0,0,0,6.49,0,0,0,0,6.73
 48-58,0.39,0,0,46.52,4.25,0,13544.14,0.86,7.33,1.58,80.33,0,0,0,0,0,6.73,1.65,0,2.33,59.72,0,9.37,21.48,1188.57,6.8,1.63,0.46,1.35,8.27,0.42,1.19,0,104.09,0,0,10.13,0,15.38
 60-70,2.52,0,0,27.67,0.8,0,28117.74,3.1,3.82,8.77,67.08,0.79,0,0,3.24,1.79,8.58,0,1.51,0,66.8,0,0,2.49,783.14,0.83,5.81,0,0,17.56,13.39,0,0,47.1,0,2.13,6.72,1.92,11.06
 72-82,0,0,1.01,63.76,4.8,1.31,20475.21,2.42,1.72,9.01,111.17,1.18,0.67,1.33,3.06,25.87,0.57,0,3.08,0,78.68,0,3.95,13.36,541.97,2.24,0.91,1.23,1.67,5.65,0.64,0,0,13.27,0,2.72,10.43,6.12,0.67
 84-94,0,0,0,65.72,1.95,0,13756.55,3.4,27.4,3.94,201.29,3.47,0.64,1.7,12.65,0,17.22,6.29,0,0,110.52,0.57,17.45,7.93,513.23,2.33,3.24,3.93,3.48,20.04,1.09,2.78,0,54.76,0,11.55,11.67,10.32,11.19
 96-106,2.68,0,0.95,44.13,25.55,5.08,10616.03,2.23,5.38,6.04,118.22,3.5,0,6.21,7.69,0,7.74,2.29,20.4,0,91.65,1.47,1.89,14.33,345.21,2.17,4.84,2.5,0,21.05,1.34,0,0,4.94,5.8,6.82,16.31,1.78,22.86
108-118,3.95,0,0.98,31.47,18.01,6.08,9993.63,1.32,1.71,10.05,83.88,1.65,0,0,6.18,0,0,0,14.86,0,74.44,0,18.17,5.35,531.33,2.66,7.23,4.99,0,10.58,0,0,0,9.89,0,0.99,0,5.82,0
120,0,0,0,72.34,5.99,0,8693.33,1.01,8.65,1.56,158.53,0,0,0,5.68,0,4.53,3.76,3.28,0,89.46,2.91,0,11.84,606.65,18.63,7.09,3.1,0,7.42,3.06,0,0,0,0,0,2.97,1.93,0
