stage,epidermis,eye,fin_mesenchyme,iridophores,mesenchyme,neural,notochord,spinal_cord
 14-21,1.54,0,0,0,0,0,0,1.05
 24-34,0,0,0,9.12,0.59,2.13,0,1.34
 36-46,0,0,0,0,1.43,3.91,0,0
 48-58,0,4.01,0,0,0,11.26,0.51,0
 72-82,0,1.66,0.58,0,3.5,3.36,0,0
 96-106,0,3.3,0,0,0,12.26,0,0
108-118,0,2.32,0,0,1.59,0,0,0
120,0,0,0,0,0,2.77,1.96,0
