stage,axial,blastomeres,epidermis,eye,glial,gut,heart,immune,neural,olfactory,otic,vasculature
  3-4,0,11.24,0,0,0,0,0,0,0,0,0,0
  5-6,6.83,13.16,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,9.44,0,0,0
 10-12,0,0,0,5.51,0,0,0,0,28.14,0,0,0
 14-21,0,0,1.85,0,0,0,0,0,2.27,0,0,0
 24-34,0,0,0,0,0,0,0,0,0.68,1.25,0,1.44
 36-46,0,0,0,0.91,0,0,0,0,0,0,0,2.44
 48-58,0,0,0,0,0,0,0,0,1.74,0,0,0
 60-70,0,0,0,2.64,0,0,0,0,1.62,0,0,0
 72-82,0,0,0,0,3.72,0,0.6,1.34,0.65,0,0,0
 84-94,0,0,0,0,0.72,0,0,0,0,0,1.19,3.7
 96-106,0,0,0,5.99,0.62,0,0,14.07,0,0,0,4.69
108-118,0,0,0,0,0.58,0,0,4.33,3.52,0,1.16,0
120,0,0,0,0,0,14.77,0,2.37,3.55,0,0,0
