stage,blastomeres,epidermis,erythrocytes,eye,fast_muscle,glial,lateral_line,mesenchyme,mucous,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,pgc,somites,spinal_cord,vascular_smooth_muscle,vasculature
  3-4,101.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,25.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,21.33,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,24.29,0,0,0,0,0,0
 14-21,0,0.95,0,0,0,0,0,4.02,0,3.91,3.89,0,0,0,0,0,0,0,0,0
 24-34,0,0.62,0,0,0,0.73,1.8,1.72,0,5.32,2.21,0,0,0,0,0,0.85,0,0,1.01
 36-46,0,0,0,0,0,0.89,0,4.62,0,0,1.49,0,0,0,0,0,0,0,1.23,0
 48-58,0,0,0.45,1.9,0,0.4,0,4.21,0,1.84,12.96,0,0,0,0,0,0,0,0,0.91
 60-70,0,0,0,7.12,0,0,0,7.79,1.53,0.68,8.4,0,0,0,0,0.64,0,0,0.69,0
 72-82,0,0,0,5.37,0.82,0,0,6.37,0,0,8.89,1.54,0.76,0,0,0,0,1.14,0,0
 84-94,0,1.33,0,0,0.98,0,0,2.88,0,0,1.72,0,0,0,0.58,0,0,0,1.38,3.53
 96-106,0,0,0,3.75,1.68,1.63,0,1.15,0,2.41,8.25,0,0,0,0,0,0,0,0,0
108-118,0,0.92,0,0,0.51,0,0,4.03,0,6.82,3.1,0,0,0,0,0,0,0,0,0
120,0,0,0,0,1.49,0,0,5.22,0,0,11.89,0,0,0,0,0,0,0,0,0
