stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,0,65.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,11.37,0,0,0,3.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.17,7.45,0,0,45.62,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,3.8,0,0,3.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.44,16.18,0,0,95.49,0,0,0,9.52,0,5.41,0,0,0,0,0,0
 14-21,0,0,1.05,0,4.82,2.4,0,1.1,0,0,0,0,0.93,1.11,0,0,0,0,20.01,0,0,21.9,14.41,9.24,0,0,6.46,0,1.01,94.1,4.57,2.45,47.86,4.72,0,0,5.13,0,0
 24-34,0,0,0.75,2.05,3.98,0.81,0,5.71,1.46,0,0,0,5.55,0,10.28,0,0.68,1.9,91.76,0,0,32.06,32.48,0,0,0,0,0,2.38,0.83,11.53,0,22.24,10.81,0,0,37.07,0,3.69
 36-46,0,0,1.55,0,1.3,0,0,3.85,2.41,0.63,0,2.34,2.37,0,5.69,0,1.51,0.66,123.92,0,2.22,29.74,34.63,2.86,0.94,0,0,0,10.2,0,10.04,0,0,6.59,0,0.62,19.11,0,11.78
 48-58,0,0,0,0,0.89,0,0,2.78,0,9.62,1.67,0,1.09,0,2.8,0.51,0.96,9.46,130.03,0,1.9,16.88,35.42,1.97,0,0,0,0,0,0,5.15,0,0,6.94,0,0,10.44,0,11.79
 60-70,0,0,0,0,1.17,0,0,5.92,6.14,7.87,7.83,5.1,0,0,0.85,0,2.85,0,111.49,0,3.55,6.17,22.83,0,0,0,0,4.84,0.75,0,1.38,2.94,0,0,0,0.84,11.71,0,7.67
 72-82,0,0,5.77,0,2.33,0,0,15.49,0,18.83,26.8,15.47,5.92,0.94,8.86,0,12.56,2.38,304.02,0,12.54,14.13,45.68,1.3,0,0,0,6.01,1.18,0,2.97,0,0,0.96,8.16,3.06,29,6.26,52.65
 84-94,0,0,5.43,0,10.61,0,0,5.61,6.27,9.99,7.64,21.9,7.68,3.53,8.79,1.91,30.04,9.28,212.28,0,12.8,15.93,23.48,4.03,0,5.81,0,0,0,0,8.96,0,0,19.12,0.62,10.22,28.57,4.97,33.48
 96-106,0,0,9.06,0,15.61,14.52,2.07,57.62,4.83,22.41,35.93,52.26,4.29,6.54,20.14,0,44.12,2.75,394.5,0.68,18.65,25.23,73.1,6.74,0.68,5.46,0,5.61,3.86,0,10.65,7.61,0,7.02,18.84,6.59,56.63,9.73,31.15
108-118,0,0,7.37,0,19.64,1.99,7.68,30.47,2.1,26.63,49.24,80.69,1.78,0.88,60.9,0,83.47,12.98,456.14,0.59,16.17,28.56,63.7,5.33,0.77,5.22,0,13.96,3.47,0,17.31,3.18,0,15.53,21.04,9.59,61.34,5.65,70.07
120,0,0,7.87,0,12.03,0,9.37,46.64,1.23,28.94,61.1,69.52,0,3.52,36.13,0,47.36,0,316.2,0,34.05,22.07,72.28,11.82,0,3.83,0,10.97,0,0,8.55,0,0,0,7.29,2.71,31.03,31.49,5.35
