stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,1.36,0,0,7.97,2.74,0,0,0,0,0,0,0,0,0,0,0,0,69.53,0,0,148.4,2.39,8.07,0,0,0,0,19.85,0,0,154.28,6.62,0,1.7,0,0
 24-34,0,0,0,20.1,2.24,0,2.25,573.64,1.87,0,0,5.65,0,0,0,0,0,108.7,0,0,302.67,42.31,2.78,0,0,0,0.82,0,0,21.75,125.16,24.99,0,23.61,0,0
 36-46,0,0,0.68,0,6.92,0,188.47,2024.76,2.96,0,0,5.17,0,0,0,0,2.55,267.03,0,0,569.64,53.81,0,0,0,0,4.11,2.07,0,61.83,3.76,10.98,0,27.95,0,0
 48-58,0,0,7.27,0,34.54,0,181.26,2518.98,13.44,0,2.52,0,0,2.31,0,0,0,312.5,0,4.45,246.51,83.71,0,0,0,0,0.96,0,0,2.83,0,5.48,7.13,11.35,5.01,0
 60-70,0,0,1.55,0,13.93,0,133.06,2039.55,34.13,0,0.81,0,0,0,0,0,9.62,365.9,0,3.4,66.75,44.31,0,1.17,0,15.88,0,0,0,0,0,7.96,5.31,0,3.56,3.42
 72-82,0,0,3.9,0,83.25,0,49.36,2549.62,60.27,2.52,1.6,0,0,0,0.61,0,7.34,995.1,2.55,26.09,114.71,68.67,0,0,0,43.09,0.82,0,0,0,0,4.98,15.41,12.53,26.55,0.99
 84-94,0,0,2.68,0,146.55,0,88.78,2009.13,59.56,1.41,0.8,0,0.72,7.14,5.81,1.09,0,666.59,0.86,24.1,68.79,51.28,0,0,0,41.99,0.6,0,0,0,0,7.21,7,0.63,51,0
 96-106,0,6.99,5.38,2.2,66.45,1.31,30,1769.22,65.84,0,0,1.81,0.73,0,0,0.93,0,824.84,0,84.77,32.32,68.81,0,0,0.77,115.98,8.93,0,1.32,0,0,5.57,11.9,11.69,43.08,0
108-118,0,0,3.8,0.66,63.21,0,11.63,1277.96,43.28,0.68,8.01,1.7,0.59,0,0,0,0,976.56,0,69.86,53.78,86.38,0.44,3.63,0,84.37,0.58,0,0,0,0,6.39,11.13,0,20.99,0
120,0,0,3.24,0,50.94,0,62.16,1261.43,76.26,0,7.44,4.02,0,0,0,28.88,0,905.7,0,42.86,29.34,50.65,0,0,4.54,133.19,2.93,0,0,0,0,12.08,23.07,8.64,30.11,0
