stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,194.8,2021.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176.33,0,0,0,0,0,0,0,0
  5-6,82.88,1523.88,0,0,0,0,0,0,0,0,0,11.6,0,0,0,0,0,0,0,36.89,0,0,0,9.32,0,19.87,0,0,0,0,0,0,0,0
  7-9,5.45,6.14,0,6.83,0,0,24.6,0,0,0,0,15.91,0,0,0,0,0,0,0,325.84,3.34,0,0,76.72,0,4.29,5.26,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,12.51,0,0,0,0,0,0,0,0,0,0,0,0,185.63,5.06,0,0,23.86,0,0,0,0,0,0,3.28,0,0,0
 14-21,0,0,0,0.81,9.01,3.59,6.97,0,0,128.79,0,0,0,0,0,0,3.06,0,0,207.11,5.85,4.03,11.11,2.11,0,0,0,1.75,36.34,0,328.92,1.78,0,0
 24-34,0,0,4.99,0,9.06,0.66,6.88,0,0.68,106.49,1.42,0,0,0,0.82,0,3.2,0,0,207.87,2.98,33.76,17.58,0,0,0,0.98,0,29.28,2.96,271.72,0.64,0,0
 36-46,0,0,8.46,0,5.46,0,4.72,0,0,61.35,0,0,0,0,0,1.07,20.18,0,2.01,119.43,0,50.37,10.51,0,0,4.14,0,0,74.18,0.7,143.98,0,0,0
 48-58,0,0,1.7,0,4.29,0,5.52,0,0,75.49,2.96,0,0,0,4.18,2.56,5.58,0.43,0,65.9,0,49.04,10.4,0,0,0,0.56,0,8.83,0,151.6,0,0,3.89
 60-70,0,0,1.52,0,2.69,0,8.36,0,1.58,77.75,0,0,0.79,0,11.42,0,0,2.56,0,90.79,0,42.37,14,0,0,4.1,0,0,4.43,0,49.04,0,0,0
 72-82,0,0,1.37,0,1.98,1.9,12.52,1.27,1.2,174.37,0,0,1.77,0,7.22,0,5.71,1.08,0,158.35,0,94.71,25.85,0,1.1,0,0,0,10.14,0,55.44,1.67,0,0
 84-94,0,0,2.29,0,3.73,0,2.52,0,0,42.29,0.75,0,0,0.79,2.18,0,4.14,0,0,76.85,0,81.64,15.64,0,0,0,0,0,5.66,0,56.02,0,2.61,0
 96-106,0,0,0.88,0.69,5.7,0,7.42,0,0.64,107.85,0.69,0,0,0,13.89,0,7.54,0,0,70.63,0,107.88,22.44,0,0,4.67,0,0,3.56,0,58.51,0,0,0
108-118,0,0,0,2.14,8.54,0.51,13.81,0,0.7,109.54,0,0,0,0,7.78,3.06,22.33,0,0.49,117.54,0,102.35,23.67,0,0,0,0,0,3.73,0,20.76,0,0,0
120,0,0,0,0,5.3,0,9.49,0,4.1,86.35,0,0,0,0,12.07,0,20.14,0,1.51,238.96,0,63.65,52.58,0,0,2.3,4.99,0,5.96,0,21.47,5.28,0,0
