stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,14.43,42.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,65.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.87,0,0,0,0,0,0,0
  7-9,0,3.7,0,0,0,3.28,0,0,0,0,0,8.5,0,0,0,0,0,0,0,0,0,58.54,0,0,0,8.25,0,0,0,0,0,0,0,0,0
 10-12,0,0,4.07,0,0,10.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.64,0,0,0,15.54,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.87,9.3,0,0,0,0,0,0,0,4.13,2.02,0,0,0,0
 24-34,0,0,0,0,0,5.22,0,0.66,0,1.36,0,0,0,0,0.63,0,0,0,6.37,0,6.15,103.72,0,3.01,0,0,0,0,0,0.77,14.75,0,6.29,0,0
 36-46,0,0,0,9.34,0,6.92,0,0,0,1.37,0,0,0,0,0,0.6,0,0,3.97,0,4.98,66.24,0,3.55,0.58,0,0,0,0,0,4.74,0,0,0,0
 48-58,0,0,0,6.85,0,20.66,4.52,0,0,9.74,0,0,0,0,5.31,0,0,0,0.78,0,7.27,54.25,0,5.66,0,0,0,7.15,0.9,0,14.61,0,0,0,0.63
 60-70,0,0,0,13.31,0,35.89,2.24,0,1.81,4.15,2.35,0,0,0,3.7,0.63,7.26,0,7.12,1.71,4.29,98.95,0,1.19,0,0,0,5.65,0,0,16.77,0,4.32,0,1.56
 72-82,0,0,0,0,0,21.11,0.59,0,0,6.66,2.19,0,0,0,0,0,0,0,27.83,0,1.14,31.41,0,0.52,0.99,0,3.01,3.45,0,0,5.27,0,0,0,0
 84-94,0,0,0,0,1.28,6.01,7.04,0,1.1,0,2.25,0,0,2.37,0,1.57,0,1.13,24.36,0,0,39.88,0,0,0,0,1.65,2.32,0,0,0,1.15,0,0,0
 96-106,0,0,0,0,4.95,7.94,0,0,0,3.9,0,0,0.66,0,0,1.88,0,0,0,0,0.62,6.31,0,0,0,0,0,6.64,0,0,0,0.83,0,0,0
108-118,0,0,0,3.01,1.82,23.08,0,0.51,0,0,0,0,0.67,0,1.65,2.07,0,0,7.09,0.51,3.19,7.35,0,0.96,0,0,0,1.32,0,0,0,0,0,3.86,0
120,0,0,0,45.47,0,37.49,0,1.16,0,20.52,0,0,8.72,0,0,0,19.69,1.54,20.82,0,1.56,103.26,1.62,1.48,2.25,0,0,18.17,0,0,0,3.81,7.85,9.16,0
