stage,endocrine_pancreas,epidermis,erythrocytes,eye,glial,immune,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,olfactory,otic,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,0,0,0,0,0,0,0,0,0,0,1.01,2.9,0,0,2.7,0,0,0,0
 24-34,0,0,0,0.62,0,0,0,0,0,2.24,0,0,59.93,0,0,14.43,0,0.61,0,0
 36-46,0,0,0,15.19,0,0,0,0,0,0,0,0.78,183.81,0,0,24.26,0,0,0,0
 48-58,0,0.79,0,56.99,4.88,0,0,0,0,1.6,4.04,0,234.1,0,0,38.38,0,0,0,0
 60-70,0,0,0,206.7,6.23,0,0,0,0,9.9,0,0.71,280.59,0,0,27.47,0.79,0,0,0
 72-82,0.49,0,0,146.25,0,0,0.64,0,0,1.21,0,0.77,156.75,0,4.89,21.82,0,0,0,0
 84-94,0,1.49,0,101.44,7.99,0,0,0,0,2.88,0,0,120.9,0.7,0,11.34,0,3.82,1.1,2.4
 96-106,1.05,0,0,54.41,3.12,0,0,0.82,0,4.82,0,0,127.44,0,0,1.51,0,6.18,0.8,0
108-118,0,2.23,3.04,40.11,2.49,0,2.12,0,0.9,0,0,0,95.41,0,0,14.12,0,0,0,1.5
120,0,0,0,52.01,0,3.15,0,0,0,0,0,0,244.6,0,0,0,0,0,0,0
