stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,immune,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,visceral_smooth_muscle,xanthophores
  3-4,102.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.77,0,0,0,0,0,0,0
  5-6,132.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.1,0,0,0,5.84,0,0,0,0,0,0,0,0
 10-12,3.59,0,5.98,0,0,4.63,0,0,0,0,0,0,0,0,0,0,0,53.5,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,1.04,0,0,0,0,0,0,0,0,0.85,0,0,21.96,0,0,1.27,0,0,0,1.32,1.08,11.3,0,0,0
 24-34,0,3.18,0,0,0,3.45,0,0.71,0,0,0,0,0,0,0,0,2.14,108.24,0,7.69,0.61,0,0.77,0,0,0,28.75,0,0,0
 36-46,0,0,0,0,0,15.12,0,0.56,0,4.31,0,0,0,0.7,1.08,0,0.95,184.77,0,17.32,0,0,0,0.7,0,0,61.18,0,0,0
 48-58,0,0.81,0,0.47,0,36.81,0,0,0,2.91,0,0,0,0,0.53,0,0,313.09,0,17.9,0,0,8.94,0,0,0,24.06,0,0,5.9
 60-70,0,0.86,0,0.68,0,181.47,0,1.06,0,17.09,0,2.61,0,0,7.8,0,0,607.11,0,13.14,0,0,9.32,0.68,0,0,49.12,0,0,0
 72-82,0,0.5,0,3.3,0,243.15,0,0,0,19.21,2.2,0.63,0,1.69,2.29,0,0,757.35,0,21.4,0.54,0,2.31,4.56,0,0,31.28,0,0,0
 84-94,0,1.19,0,8.22,0,228.37,1.27,0,0,14.48,4.26,4.18,0,0,4.13,0,0,663.63,0,10.8,0,0,17.48,0.67,0,0,20.14,1.91,0,0
 96-106,0,4.06,0,10.24,14.93,255.52,0,1.66,0,30.02,1.91,5.96,0,0,5.75,1.22,4.09,644.28,0,17.78,0.57,0,3.39,0.61,0,0,10.99,1.93,0,0
108-118,0,3.09,0,11.38,0,260.98,0,0.46,0,19.44,1.04,1.5,0.61,0,9.22,0,0,661.45,0,13.19,0,0,2.61,0,0,0,8.25,0,0.57,0
120,0,6.67,0,15.72,34.48,207.07,0,1.19,19.12,36.02,0,2.96,6.54,0,0,0,0,822.98,3.99,37.52,10.66,0,12,0,0,0,15.38,0,0,0
