stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle
  3-4,0,159.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,16.28,211.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,6.67,12.32,0,7.1,0,0,24.03,0,0,0,0,0,4.2,0,0,0,0,0,0,0,0,0,148.93,4.46,0,0,77.37,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,9.52,0,0,15.89,0,0,0,0,0,4.52,0,0,0,0,0,0,0,0,0,242.12,0,0,0,53.93,0,0,16.84,0,0,0,0,0,0
 14-21,0,0,0,0.89,6.86,0.96,6.09,0,0,0,0,0,1.44,0,0,0,0,0,0,5.19,0,4.43,62.39,10.32,0,1.61,0.98,0,4.19,1.66,0,3.78,24.67,0,0,0
 24-34,0,0,0,0.59,0,0.69,5.52,0,0,0.78,1.91,0,0,1.85,0,1.25,0,2.17,0,19.53,0,6.13,229.79,1.07,0,1.99,0,1.29,0,0,0,1.31,52.02,0,10.86,0
 36-46,0,0,0,0,6.91,0,32.24,0,0,0,0.8,0,0,0,0,1.03,0,0,3.4,6.98,0,0.66,282.76,1.39,0,0.64,0,0.72,0,0,0,0,29.37,0,0,0
 48-58,0,0,0,0,2.93,0,61.6,0,1.85,0.44,17.18,0,0.93,0,0,0,0,0,0,8.06,0,1.32,205.91,0,2.44,0.54,0,1.53,0,0,0,0,35.83,0,0.47,0
 60-70,0,0,0,0,0,0,107.59,0,0,0,12.27,0,0,0,0,0,0,1.12,0,14.56,1.04,0,198.64,1.31,0,0.69,0,0,0,0,0,0,37.14,0,0,0
 72-82,0,0,0.53,0,0,0.55,88.31,0,0,0,10.11,1.38,0,0,0,0,0,0,0,18.49,0,0,118.1,0,0,1.39,0,2.39,0,0,2.68,0,15.85,0,3.12,0
 84-94,0,0,0.8,0,3.32,8.05,33.39,0,0,0,17.81,0.58,0,0,2.94,0,0,0,1.53,21.27,4.81,1.86,120.11,0.56,2.77,0.78,0,3.45,0,0,0,0,21.37,2.36,3.36,0
 96-106,0,0,0,0,0,0,59.55,0,0,2.05,6.19,1.38,0,0,0,0.82,0,0,0,7.44,0,0.62,93.43,0,0,1.65,0,5.41,0,0,0,0,1.73,0,1.51,2.23
108-118,0,0,0.91,0,10.15,7.32,39.49,0,0,0,7.99,0,0,1.33,0.49,1.11,0.47,1.68,0,14.18,2.89,2.22,131.5,0,3.57,3.36,0,2.64,0,0,0,0,0,1.23,2.7,0
120,0,0,0,0,14.41,4.75,37.47,1.99,2.39,0,9.57,1,0,6.72,2.51,0,0,0,0,2.99,0,0,132.23,0,0,0,0,5.07,0,0,0,0,0,0,0,0
