stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.9,285.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.67,191.35,0,0,0,0,0,0,0,0,0,7.31,0,0,0,0,0,0,0,0,0,0,0,18.15,0,0,0,7.98,0,6.27,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,25.07,0,39.48,0,0,69.11,0,0,0,0,5.31,0,0,0,0,0,0,0,0,0,0,0,528.46,20.29,0,0,188.94,0,8.69,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,41.88,0,12.37,0,0,83.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,560.34,20.66,0,0,159.45,0,0,5.95,0,0,0,18.81,0,0,0,0,0,0
 14-21,0,0,0,1.03,8.67,1.76,3.92,0,0,0,1.2,0,0,0,0,0,0,0,0,4.14,0,0,7.29,60.07,0.82,0,2.26,0,0,0,0,5.3,0.81,0,28.58,26.99,0,0,0,0,0
 24-34,0,0,1.85,0,3.87,0.96,4.01,0,0,2.3,0.69,0,0,0,0,0,0.95,0,0.78,7.46,0,0,0,58.81,0,0,0.99,0,0,1.31,0,0,0.81,0,1.71,20.75,0,0,0,0,0
 36-46,0,0,0,0,0,0,2.95,0,0,5.35,0,0,0.75,0,0.62,0,0,0,0,10.71,0,0,0.83,35.54,0,2.11,0.62,0,0,4.67,0.81,0,0,0,0,8.18,0,0,0.73,0,0
 48-58,1.15,0,0,0,1.3,0,5.39,1.63,0,11.04,0,0,0,0,0,0,0,0,6.29,10.78,1.06,0,7.69,22.66,0,2.43,1.29,0,0,0,0,0,0,0.4,0,6.36,0,0,0,0,1.65
 60-70,0,0,0,0,1.95,0,16.04,0,0,54.38,0,0,0,0,0,0,0,0,0,53.48,0,0.62,0.93,18.83,0,0,0,0,0,1.71,0,0,0,0.64,0,23.97,0,0,0.67,0,1.29
 72-82,0,0,0,0,1.88,4.74,7.88,0,0,22.53,0.54,0,0.93,0,0.61,0,1,0,0,41.95,0.55,0.77,2.25,25.21,0,0,1.28,0,0,0.56,0,0,0,0,0,4.55,0,0,0,0,2.08
 84-94,0,0,0,0,4.24,0,4.58,0,0.83,35.85,1.95,0,0,0.56,2.8,0.79,3.77,0,0.91,37.63,0,1.41,5.16,16.74,0,1.69,0.83,0,0,9.58,0,0,0.87,0,0,11.92,0,0,1.33,0,0
 96-106,0,0,0,0,2.16,0,7.11,0,1.64,26.2,3.44,0,0,3.56,0.81,1.17,2.67,0,0,28.24,3.01,0,3.05,21.09,0,0.7,0.6,0,1.36,18.97,0,0,0,0,0,0.57,0,0,0,0,0.62
108-118,0,0,0,0.49,4.3,1.25,16.84,0,2.25,21.77,1.42,0,0,1.03,1.44,0.41,0.43,0,0,52.22,0,1.79,2.97,18.15,0,2.74,4.49,0,0,23.21,0,0,0,0,0,1.76,0,0.43,9.41,0,0
120,0,0,0,0,7.17,0,8.95,2.94,3.05,20.13,0,0,0,4.92,0,4.85,0,6.57,1.79,44.85,0,0,1.12,47.44,4.99,1.91,8.99,0,0,14.72,0,0,1.26,0,0,4.49,1.94,0,0,6.74,2.33
