stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,0,354.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,8.91,247.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.06,0,0,0,9.77,0,6.49,0,0,0,0,0,0,0,0,0
  7-9,0,22.08,0,0,0,8.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165.3,0,0,0,71.97,0,0,4.77,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.85,0,0,0,36.75,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,8.84,0,4.93,0,0,0,0,1.46,0.99,0,0,0.86,0,0,0,0,0.87,0,0,1.25,7.61,4.45,0,0,0,0,2.08,0,1.25,0,0.88,8.63,0,0,0,0
 24-34,0,0,0.6,4.62,0,8.71,0,2.07,0,4.33,0,0,0,0,2.91,0,0,11.88,0,5.26,0.84,0,1.85,58.25,0.62,0,0,0,0,16.68,0,0,0,0.88,9.62,0,0,0,0
 36-46,0,0,0,3.16,0,5.46,0,1.38,1.46,2.8,0,0,0,0.61,1.48,0,0,0,0,3.67,0,0,0,57.4,0.66,1.21,0,0,0,9.79,0,0,0,0,12.29,0,0,1.79,0
 48-58,0,0,0,5.35,0,13.71,0,1.66,0,4.73,0,0,0,0.38,0.75,0,0.69,2.08,2.9,5.94,0.59,0,0,56.48,5.74,0,0.62,0,0,14.63,0,0,0.43,0,7.38,0,0,1.36,0
 60-70,0,0,0,1.39,0,32.69,1.88,2.6,1.34,14.52,2.2,0,0,0,0,3.41,0,0,0,18.03,1.43,0,0.79,101.6,0,0,0,0,0,2.58,0,0,0,0,5.72,0,0.57,0.72,0
 72-82,0,0,0.58,6.51,0,47.92,0,1.62,0,29.39,4.12,0,0,0,1.22,0,0,2.99,0,13.99,0,0.51,1.23,83.54,0,0,1.11,0,0,1.04,0,0,0,0,17.32,0,0,1.23,0
 84-94,0,0,3.53,9.73,0,54.36,0,3.6,4.08,64.37,8.13,0,0,0.55,1.03,0,1.65,12.73,0,18.49,1.18,0,2.51,63.26,0.83,0,1.9,0,0.79,3.44,0,0,1.73,0,3.78,2.24,1.68,5.99,1.98
 96-106,0,0,0.99,7.73,0,37.02,0,2.15,0,57.75,2.77,0,1.53,0.7,4.39,0.75,1.93,2.75,0,20.73,0,0,0.82,69.84,0.75,3.23,0,0,0,5.3,0,0,0,0,8.71,1.23,1.2,0.96,1.85
108-118,0,0,1.03,17.5,2.45,48.87,0,3.16,0,106.86,4.86,0,0.71,0,3.5,0.94,0,45.52,0,25.65,0,2.79,4.89,101.19,1.55,1.15,1.53,0,5.29,10.39,0,0,1.48,0,3.43,0.86,0.53,1.82,1.58
120,0,0,0,5.5,0,32.21,0,0,2.48,34.4,2.51,0,0,0,0,0,0,2.76,0,19.73,0,0,1.26,125.99,0,0,0,0,6.29,4.92,0,0,0,0,5.37,0,0,5.44,0
