stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,iridophores,lateral_line,liver,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,somites,spinal_cord
  3-4,10.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,14.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.15,0,0,0,0
  7-9,0,0,9.14,0,0,0,3.33,0,0,0,0,0,0,0,0,0,0,40.13,0,0,0,15.1,0,0,0,0
 10-12,0,0,19.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164.23,11.02,0,0,17.51,0,18.97,0,0
 14-21,0,0,0,4.81,0.94,0,0,0,0,127.62,0,0,0,0,0,7.05,0,55.57,3.25,0,6.84,11.3,13.23,128.81,3.04,313.15
 24-34,0,0.84,0,2.17,0,0,0.66,0,1.71,161.81,0,0,0,0,0,2.1,1.44,75.69,0,10.09,2.59,0,0.66,121.27,1.27,267.67
 36-46,0,0,0,1.35,0,0,2.61,0,0,109.95,0,0,0,25.19,0,0,0,118.36,0,10.51,0,0,0,69.43,0,237.32
 48-58,0,0,0,0,0,0,27.8,0,0,84.61,0,6.97,0.4,2.56,0,5.45,1.18,51.23,0,10.44,0,0,1.86,17.6,0,188.02
 60-70,0,0,0,0,0,0,17.4,0,0.63,114.73,0,0,0.77,0,0,0,0,30.78,0,9.07,9.34,0,0,25.13,0,83.52
 72-82,0,1.5,0,0,0,0,29.68,0,0,105.14,2.32,0,7.44,0,0,1.91,0,26.91,0,15.15,9.28,0,2.64,5.9,0,47.29
 84-94,0,0,0.74,2.05,0,0,26.25,0,0,58.43,0,0,5.8,0,0,0,0,19.27,0,21.16,17.31,0,2.57,15.01,0,43.57
 96-106,0,0,3.27,0,0,0,26.46,1.54,0,30.12,2.47,0,15.01,0,0.86,3.2,0,8.36,0,39.08,20.58,0,0,3.42,0,52.64
108-118,0,0,1.64,0.87,0,0.78,14.05,0,0,52.82,0,0,3.92,0,0,3.34,0,32.89,0,20.56,17.04,0,0,11.63,0,26.19
120,0,3.73,3.17,2.13,0,0,22.38,0,0,41.57,0,0,4,0,0,0,0,67,0,26.93,28.08,0,0,5.2,0,31.93
