stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,18.01,763.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.6,0,0,0,0,0,0,0,0,0,0,0
  5-6,30.75,633.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.76,0,0,0,0,0,7.85,0,0,0,0,0,0,0,0,0,0,0
  7-9,35.03,0,0,28.3,0,0,90.93,0,0,0,0,29.77,0,0,0,0,0,0,0,0,0,0,596.97,43.82,0,0,211.32,0,0,11.24,0,0,0,0,0,0,0,0,0,0
 10-12,0,12.15,0,9.06,0,6.05,89.85,0,0,0,0,3.85,0,0,0,0,0,0,0,0,0,0,820.86,63.88,0,0,292.58,0,3.3,0,3.57,31.26,0,0,15.17,0,0,0,0,0
 14-21,0,0,1.41,0.96,10.66,4.54,8.16,0,0,3.54,0,2.04,0,0,0,0,0,0,3.18,0,0,6.95,81.21,0,0,0,0,0,5.38,0,12.79,0,0,7.99,39.53,0,0,1.77,0,0
 24-34,0,0,0,0,7.75,0,20.74,0,0,10.19,0.61,0,0.98,0,0.63,2.57,0,1.6,13.84,0,0,6.66,311.25,0.67,2.91,5.23,0,0,4.59,0,1.1,1.72,0,3.26,62.76,0,0,10.31,0,0
 36-46,0,0,0.95,0,1.92,0,49.88,0,0,14.36,0,0,1.06,0,0,0,0.67,0,19.68,0.59,0.89,6.07,582.17,1.49,8.47,0,0,0,10.44,0,0,0,0,0,108.42,0,0,3.18,0,0
 48-58,0,0,0,0,9.17,0.45,86.27,0.4,0.41,20.2,0,0,2.75,0,0,0,0,0,31.77,0,1.63,4.68,367.63,6.44,1.08,0.44,0,0,3.55,0,0,0.77,0,0,90.44,0,0,3.34,0,10.49
 60-70,0,0,1.1,0,9.52,0,248.09,0,0,25.15,0,0,0,0,0,1.86,0.7,0.93,49.96,0.58,5.74,7.2,519.39,1.73,2.05,0.61,0,0,7.99,0,0,0.93,0,0,75.4,0,0,2.55,0.71,17.81
 72-82,0,0,0,0.56,4.53,10.86,142.2,0,0.74,23.12,0.53,0,0.56,0,0,0.65,0.66,6.69,59.31,0,0.68,5.25,299.88,0,4.84,2.1,0,4.65,3.73,0,0,0,1.5,0,39.31,2.84,2.03,4.34,0,1.6
 84-94,0,0,0,0,8.56,9.53,131.99,1.96,2.59,19.29,1.73,0,0,2.25,0,0.93,0.66,0.83,45.85,0,2.56,5.59,279.71,2.09,0,1.46,0,2.56,8.01,0,0,0,0,0,22.05,0,1.77,7.87,3.51,0
 96-106,0,0,0.81,0,6.69,11.1,79.53,0.58,0.59,24.22,0,0,2.28,1.86,0.85,0,2.61,0,45.77,2.42,10.09,2.88,186.86,0.57,7.67,1.48,0,0,16.92,0,0,0.87,0,0,9.9,1.22,0,2.17,0,0
108-118,0,0,0,0,12.16,0,93.18,2.69,0.96,25.63,0.65,0,0.8,3.57,0.7,6.25,2.85,0,52.57,0,2.75,1.64,230.39,0,9.24,2.95,0,2.84,1.24,0,0,0.47,0,0,11.78,0,0.75,0.99,1.55,0
120,0,0,0,0,6.83,14.01,111.31,1.33,1.52,30.37,0,0,0,8.13,0,0,0,0,66.72,0,0,7.94,292.37,0,4.09,22.79,0,0,8.08,0,0,0,0,0,20.63,0,0,7.19,0,2.08
