stage,blastomeres,endocrine_pancreas,epidermis,eye,glial,gut,immune,mesenchyme,muscle,neural,notochord,paraxial_mesoderm,periderm,somites,spinal_cord,vasculature,xanthophores
  3-4,45.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,10.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,5.52,0,0,0,0,0,15.76,0,15.49,0,0,0,0,0
 10-12,0,0,0,11.48,0,0,0,0,0,13.65,0,3.69,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,4.39,0,0,0,1.22,0,0,0
 24-34,0,0,0,1.3,1.09,0,0,0,0,5.84,0,0,0,0,0.84,0,0
 36-46,0,0,0,0,0,0,0,0,0.61,5.04,0,0,0,0,0.58,0,0
 48-58,0,0,0,3.17,0.49,0,0,0,0,1.08,0,0,0,0,3.2,0,0
 60-70,0,0,0.57,2.1,0,0,0,0,0,3.47,0,0,0,0,0,3.23,0
 72-82,0,3.57,0,0.62,0,0,0,5.71,0,1.14,0,0,0,0,0,0,0
 84-94,0,0,0,3.39,1.85,0,0,0.88,0,2.73,0.72,0,0,0,0,0,0
 96-106,0,1.57,0,2.72,0,0,0.98,1.73,0,0,0,0,0.81,0,0,0,1.29
108-118,0,21.12,0,0.49,0.82,0.5,0,2.53,0.92,2.02,0,0,1.74,0,0,0,3.61
120,0,0,0,1.01,0,2.55,0,3.05,0,2.25,2.26,0,6.63,0,0,0,0
