stage,axial,blastomeres,epidermis,eye,hatching_gland,mesenchyme,muscle,neural,notochord,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,somites,spinal_cord
  3-4,87.24,2627,0,0,0,0,0,0,0,0,100.65,0,0,0,0
  5-6,61.95,1102.23,0,0,0,0,0,60.01,0,6.17,30.28,0,0,0,0
  7-9,5.7,0,0,31.42,14.62,0,0,194.24,4.91,48.65,3.28,17.88,0,0,0
 10-12,0,0,0,9.64,0,0,0,20.37,0,15.39,0,11.92,0,0,0
 14-21,0,0,1.02,0,0,0,0.91,4.53,0,0.82,0,0,1.34,0.81,0.93
 24-34,0,0,1.11,0,0,1.45,0,2.9,0,0,0,0,0,0.64,0
 48-58,0,0,0,0,0,0,0,1.58,0,0,0,0,0,0,0
120,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0
