stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,19.35,677.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.2,0,0,0,0,0,0,0,0,0
  5-6,43.79,283.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,5.31,0,0,0,0,0,0,0,0,0,12.64,0,0,0,0,0,0,0,0,0,0,0,43.97,3.59,0,0,3.2,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,19,0,0,0,0,0,5.11,0,0,0,0,0,0,0,0,0,0,0,27.94,0,0,0,0,0,6.36,0,8.35,0,0,0,0,0,0,0
 14-21,0,0,0,0,5.76,0,0,3.38,0,0,0,0,0,0,0,2.61,0.92,0,0,0,0.85,9.47,0,0,5.71,45.87,0,0,0,2.08,0,27.99,6.59,0,0,0.81,15.92,0,0,1.06,0
 24-34,0,0,0,6.31,18.85,0,0,5.57,0,0.66,0,0,0.69,0,0,8.1,0,0,2.33,0,0,20.81,0.66,0,9,49.88,1.02,0.75,0.69,0,0,95.88,0,0,0,1.5,11.78,0,0,20.11,3.55
 36-46,0,0,0,0,31.09,0,0,7.92,0.95,0,0.87,2.52,0.66,0,0.69,35.35,0,0,0.61,0,0,22.13,0,0,7.54,92.31,0,0.6,0.57,0,0,110.11,0,0,4.22,0,17.08,0,0,24.59,0
 48-58,0,0,0,0,9.9,0,0,13.93,0,0.47,1.55,3.71,2.4,0,0,17.65,0,0,1.36,0,0,21.38,0.57,0,2.44,81.17,0,0.44,2.82,0,0,40.07,0,0,0,0,8.96,0,0,15.74,0
 60-70,0,0,0.62,0,8.95,0,0,18.66,0,0.96,1.6,4.22,6.28,0,0,29.59,0,1.14,0.73,0,0,42.39,0,1.12,5.6,65.42,6.88,0.83,0,0,0,52.31,0,0,0,0,5.45,0,0.94,11.84,0
 72-82,0,0,0.91,0,7.69,1.26,0,24.67,0,0,0,6.33,1.91,0,1.72,19.39,0,2.67,0,0,0,55.42,0,3.05,5.5,76.36,1.94,1.25,2.66,0,0.89,32.99,0,0,0,0,1.17,1.69,0.87,10,0
 84-94,0,0,5.43,0,14.65,5.61,0,18.46,0,1.05,0,4.88,1.19,0,0,21.34,0,1.58,1.91,2.17,0,57.44,0.71,0,2.51,64.09,2.43,0,0,0,0,113.48,0,0,0,0,0,0,0.9,7.67,0
 96-106,0,0,1.11,0,26.41,0,0,4.42,0,0.97,3.19,1.14,1.96,0,0.82,44.14,0,1.14,2.91,10.25,0,49.33,0.6,0.66,6.13,66.71,3.44,0.59,0,0,0,136.57,0,0,0,0,0,0,0,27.64,2.26
108-118,0,0,1.98,0,35.44,0.59,0.5,22.74,0,2.6,2.49,10.72,5.6,0,0,24.42,2.84,10.42,4.76,1.64,0.72,78.04,1.07,1.04,1.47,47.84,0.62,0.67,2.93,0,0.91,73.76,0,1.01,0,0,1.43,2,0,24.53,7.52
120,0,0,0,0,32.39,4.03,0,22.97,1.33,5.53,5.75,2.98,6.06,0,1.54,95.91,1.65,0,1.48,9.97,0,73.3,7.55,0,5.57,32.83,0,4.18,9.29,0,0,114.72,0,1.83,0,0,0,0,0,11.1,0
