stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,hatching_gland,immune,mesenchyme,mucous,muscle,neural,notochord,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,vasculature
  3-4,40.25,992.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.89,0,0,0,0
  5-6,51.93,580.5,10.68,0,0,0,0,0,0,0,0,0,0,9.55,0,0,9.04,0,0,0,0
  7-9,20.25,4.5,51.09,0,0,22.43,0,0,21.66,0,0,0,0,453.99,12.35,197.74,0,15.21,0,0,0
 10-12,0,22.87,133.54,0,32.84,32.76,0,0,13.76,0,0,0,0,851.87,17.35,333.37,0,19.18,7.93,90.84,0
 14-21,0,0,0,0.99,0,0,0,0,0,0,0,0,1.4,0.81,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,1.52,0,0,0,0,0.89,0,0,11.31,0,0,3.81,0,0,0,0.73
 36-46,0,0,0,0,0,0,0,0,0,0,0.78,0,0,12.46,0,0,0.59,0,0,0,1.47
 48-58,0,0,0,0,0,10.05,0,0.47,0,0,0.42,0,0,4.03,0,0,2.59,0,0,0,0
 60-70,0,0,0,0,0,4.79,0,0,0,3.06,0,0,0,0,0,0,5.11,0,0,0,0.75
 72-82,0,0,0,1.61,0,2.56,0,1.25,0,0,3.71,0,1.68,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,5.71,0,0,0,1.28,1.91,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,1.4,0.68,0,0,0,0,0,0,0,0,5.78,0,0,0,0
108-118,0,0,0,0,0,0,0,0,0,0,0,1.22,0,1.23,0,0,6.24,0,0,2.63,0
120,0,0,0,0,0,0,0,12.2,0,0,12.36,0,0,0,0,0,1.26,0,0,0,1.59
