stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,27.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,28.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,2.13,0,0,0,1.44,0,0,0,0.89,0,0,0,0,0,0,0,0,0,0,0,2.17,117.59,0,6.49,0,0,0,0.88,0,2.88,187.36,0,0,0,0,0
 24-34,0,0.84,2.81,0.81,0,14.92,0,0,0,0,0,0,0,0,0,0,0,0,1.85,0,0,2.7,1345.36,0,19.49,4.14,0,1.65,0,0,2.19,663.47,0,0,5.76,0,0
 36-46,0,0,4.08,1.99,0,31.88,0,0,0,6.96,0,0,0,7.18,0.88,0,0,1.33,12.71,0,0,1.95,3657.75,0.72,23.78,0,0,0,0,0,0,1026.9,0,0,0.91,0,0
 48-58,0,0,16.28,0,0,198.68,0.51,0,0.77,61.68,0,0,0,0.39,7.73,0,1.59,1.28,17.9,0,0,9.53,5640.68,43.65,18.35,0,0,9.67,0,0,0,1000.67,0,0,2.15,0,22.47
 60-70,0,0,21.26,0,0,292.7,0,1.88,0,54.22,0,0,6.04,0,7.43,1.16,0,20.22,33.57,0,8.65,1.86,6351.63,0,13.96,0,2.07,7.91,0,0,0,769.15,0,0,2.83,0,10.15
 72-82,0,0,26.07,0.76,0,392.8,0,5.53,3.73,66.99,0.7,0,2.57,0.56,6.94,0,0,0,52.72,0,0,3.06,4947.17,0.52,19.66,0.8,0,5.52,0,0,0,414.76,2.55,0,6.84,0.77,13.44
 84-94,0,0,15.14,10.37,0,356.54,0,0.85,0.83,70.82,1.94,0.7,3.04,0.6,5.56,0.69,0,0,41.55,0,0,2.86,3742.27,0.9,10.91,0,0,0.72,0,0,0,314.75,0.66,2.83,8.38,0.66,0
 96-106,0,0,14.7,2.85,0,271.7,0,0,0,48.14,0,0,1.95,0,1.5,0,30.53,0,30.64,0,2.05,2.72,2824.12,0.77,9.02,0,0,7.01,0,0,0,136.25,0,5.08,0.92,0,0
108-118,0,0,23.95,8.16,2.73,250.75,1,0.48,7.53,68.32,0,3.21,0.95,0,4.33,0,0,0,34.13,0,0,1.56,3379.74,0,15.21,0.42,0,0.44,0,0.86,0,151.89,3.18,0,1.96,1.03,0
120,0,0,89.73,2.35,14.01,417.25,0,1.16,0,158.53,6.68,0,6.13,0,0,0,5.52,0,45.71,3.7,9.54,10.6,6092.09,0,23.49,6.39,0,5.7,0,0,0,273.69,0,0,2.09,0,0
