stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,11.32,129.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.38,0,0,0,0,0,0,0,0,0
  5-6,0,145.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.94,0,0,0,3.84,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,3.29,38.89,5.41,0,0,0.88,0,0,0,0,0,0,0.97,0,0,0,0,4.63,0,0,0.9,10.1,0,1.1,0,0.93,0,8.54,1.66,15.31,3.97,3.28,0,0,1.01,0,0
 24-34,0,0,0.6,0,23.14,0.99,3.11,1.71,4.59,0,0,0.77,0,3.41,1.3,3.32,0,2.45,0,18.34,5.94,2.26,0,10.22,107.61,3.38,2.14,4.13,0,0,11,7.71,4.87,5.92,19.63,0,0,13.29,0,3.6
 36-46,0,0,0,0,13.04,0,4.28,7.13,12.32,0.74,16.81,0,0,0.56,1.86,0.78,1.36,0,0,2.31,19.02,0,0,7.69,162.44,0.64,4.02,2.27,0,0,25.45,0,0.67,0,43.57,0,0,12.47,0,1.28
 48-58,1.15,0,0,0,15.25,0,32.74,6.25,7.56,0.83,42.4,0,0.54,0.82,13.32,0,0.63,0.42,0,1.18,23.38,0,1.67,7.22,188.84,0,2.75,1.27,0,0,8.77,0.51,2.99,0,25.12,0,0,2.81,0,8.79
 60-70,0,0,0,0,5.65,0,52.44,1.49,13.43,1.64,44.99,1.19,0,0.59,9.79,0,1.43,2.38,0,2.6,18.07,0,0,1.3,214.18,0,6.59,2.97,0,3.19,9.63,0,0.71,0,42.74,0,4.37,3.92,2.85,2.08
 72-82,0,0,1.9,0,13.79,6.01,157.81,1.05,6.57,3.38,58.8,4.35,0,1.25,4.29,1.83,0.57,2.5,0,1.79,41.78,0,1.85,2.35,275.22,0,3.48,7.94,0,0,14.26,1.18,1.81,0,24.37,2.4,0.49,22.77,0,0
 84-94,0,0,3.52,0,26.11,6.61,69.98,2.22,11.14,4.87,67.43,2.91,1.22,3.17,8.97,3.17,15.74,0,0.69,5.62,43.4,3.86,6.19,4.53,147.21,0,3.95,12.21,0,0,23.64,0,1.29,0,29.87,6.35,13.31,37.14,4.79,5.24
 96-106,0,0,2.27,0,30.83,6.1,73.29,5.72,7.59,4.81,47.74,4.18,0,0.88,7.31,3.65,0,7.43,1.22,1.5,63.84,0,8.8,0,166.21,2.55,10.38,8.59,0,5.68,25.46,0.67,0.82,0,3.53,2.87,4.36,32.5,0.66,0.79
108-118,0,0,2.25,0,38.01,3.05,105.62,3.54,11.48,5.67,57.49,5.78,0,1.37,10.01,2.09,9.13,1.29,1.18,0,41.33,2.46,5.53,1.97,188.42,0.44,5.1,8.69,0,5.61,31.8,2.56,4.89,0,10.27,7.62,0,17.15,2.09,6.51
120,0,0,0,0,53.06,3.56,68.25,2.52,6.05,0,44.21,23.86,0,0,11.68,1.4,1.58,0,0,0,72.81,0,0,0,174.76,12.28,1.99,18.4,0,0,17.63,3.39,4.18,0,7.49,0,0,49.66,0,0
