stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,94.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,8.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.67,0,0,0,20.13,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,13.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.51,0,0,0,10.32,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,3.43,0,0,0.87,0,0,0,0,0,1.19,0,0,0,0,0,0,0,11.07,0,0,4.83,25.94,0,0,0,0,0,0.91,5.86,0,1.23,8.06,10.35,0,0,0,0,0
 24-34,0,0,3.87,0,0,9.37,0,0,0,0,0,0,0,0,0,0,0,0,0,11.91,0,0.69,1.23,198.73,0,4.72,1.72,0,0,0,0.85,0,0,0.84,49.18,0,0,2.48,0,0
 36-46,0,0,0.71,0,0,52.41,0,0,0,9.73,0,0,0.89,0,0,0,0,0,0,13.68,0,0,0.56,496.15,0,8.52,1.6,0,0,0.78,0,0,0,0,74.63,0,0,0,0,0.81
 48-58,0,0.42,2.82,0,0,218.16,0,0,3.63,32.55,0,0,0,0,0,0,0,2.28,2.37,8.3,1.23,0.69,3.88,809.83,4.88,3.71,1.15,0,0.72,0,0,0,0,0,107.87,0,0,0,0,3.23
 60-70,0,0,2.14,0,0,571.52,0,0,0,31.71,0,0,0,0,0,0,0,13.06,0,23.78,0,0.65,1.35,1029.15,0,12.89,2.6,0.81,9.68,0,0,0,0,0,117.98,0,0,0.68,0,3.56
 72-82,0,0,1.1,0,0,551.26,0.55,1.94,4.1,40.69,1.22,0,0,0,0,1.42,1.15,0,0,53.91,0,7.26,1.4,980.22,0,15.27,3.74,0,0,0,0,0,0,0,68.22,0,1.61,2.06,0,8.74
 84-94,0,0,0.59,0,0,502.74,0,0,1.27,28.78,0,0,0,0,0,0,0,0,0,29.98,2.4,0,8.12,704.36,3.07,4.85,1.49,0,10.52,0,0,1.26,0,0,78.27,0.78,2.72,0,0,4.01
 96-106,0,0,8.21,17.81,0,429.06,2.17,3.86,0,40.19,5.57,0,0,2.07,0,0,0,11.09,0,29.59,0.68,0.93,3.26,539.88,0,12.57,6.55,0,4.52,0,0,0,0.62,0,37.69,8.24,0,2.67,0.64,0
108-118,0,0,7.45,7.53,8.98,408.89,0,1.8,9.89,42.35,1.68,0,0,0,2.14,0,4.22,2.54,0,40.65,0,4.6,5.17,808.15,0,11.53,7.7,0,7.54,0,0,1.06,0.44,0,28.34,2.45,1.11,4.31,1.4,0.99
120,0,11.35,12.48,4.46,1.91,410.02,1.26,0,6.63,39.21,4.01,0,0,0,1.45,0,2.89,0,0,46.36,3.54,0,5.82,1289.01,2.4,18.69,9.92,0,9.76,0,0,0,0,0,57.72,0,3.03,32.34,6.92,0
