stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,376.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.29,0,0,0,0,0,0,0,0
  5-6,385.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.94,0,0,0,0,0,0,0,0
  7-9,0,0,9.22,0,0,0,3.93,0,0,0,0,0,10.47,0,0,0,0,0,0,0,0,0,65.22,0,0,21.3,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,18.08,0,4.44,0,3.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.15,0,0,24.76,0,0,0,12.59,0,0,0,0,0,0
 14-21,0,0,0,0,1.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.15,0,0,0,0,1.18,0.87,0,2.48,4.55,0,0,0,0
 24-34,0,0,0,4.64,0,0,2.22,0,0,0,0,0,0,0,0,0,0,0,0,6.67,0,0.65,94.81,2.66,0,0,0,0.74,0,0,0,46.48,0,0,3.45,0
 36-46,0,0.95,0,0,0,0,7.35,0,1.39,0,3.52,0,0,0,0,0,0,0,3.49,0,0,0,299.65,2.9,0,0,0,1.16,0,0,0,69.74,0,0,0.82,0
 48-58,0,0,0,3.52,0,0,29.88,0,0.92,0,9.41,0,0,0.85,0,0,0,0,4.57,7.08,0,0.52,380.94,0.78,0.84,0,0,0,0,0,0,57.39,0,0.84,1.25,0
 60-70,0,0,0,0,0,0,121.67,2.93,0.96,0,2.16,0,0,0,0,0,0,0,3.72,9.06,0,0,469.02,2.28,1.67,0,0,0,0,0,0,92.65,0,0,2.97,0
 72-82,0,0,0,0.65,0,0,194.17,0,0.58,0.67,16.16,0.56,0,0,0,8.35,0.62,0,0,12.29,2.91,0.55,408.53,18.71,0.95,0,6.02,2.23,0,0,0,43.22,0,0,3.56,0
 84-94,0,0.8,0,1.46,0.55,0,123.5,0,3.62,0,14.7,0,0,0,0.7,0,0,0,0,11.91,0,0.64,307.87,2.68,2.01,0,0,5.64,0,0,0,20.62,0,0.84,7.73,0
 96-106,0,0,0,2.75,10.31,0.71,165.37,0,0,0,11.09,0,0,0.68,0,0,0,0.7,1.3,8.82,0,0,352.54,2.56,1.74,0,0,5.72,0,0,0,16.48,0.61,0,2.42,0
108-118,0,0.41,0,2.57,2.44,0,119.61,0,1.12,0,12.71,0,0,0,0,0,0,0,2.38,9.4,0,1.77,383.68,1.6,4.18,0,0,0,0,0,0,20.95,0.44,0,5.23,3.94
120,0,0,0,1.27,1.06,0,223.78,0,1.68,0,54.82,0,0,4.12,0,0,0,0,18.47,5.36,0,0,537.21,3.75,3.01,0,0,0,0,0,0,19.56,0,0,17.09,0
