stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,glial,gut,heart,lateral_line,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,0,207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.57,0,0,0,0,0,0,0,0,0
  5-6,0,98.55,0,0,0,0,0,0,0,0,0,0,0,0,0,6.87,13.91,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,8.96,0,0,0,0,3.56,0,0,0,0,0,0,0,0,0,31.97,0,0,0,9.89,0,0,0,0,0,0,0,0,0,0
 10-12,0,5.63,0,0,0,0,0,0,0,0,0,0,0,0,0,39.47,4.45,0,0,10.85,0,10.34,0,0,0,0,0,0,0,0
 14-21,0,0,1.54,0,0.93,0,0,0,0,5.14,82.72,0,46.44,0,3.71,8.39,0.82,0,0,0,0,0,0,1.55,3.36,0,0,0,0.9,0
 24-34,0,0,0,0,1.22,2.95,0,0,0,0,103.98,0,4.31,0,1.86,34.28,0,0.63,1.32,0,0,0,0,0,0.67,18.82,0,0,0,0
 36-46,0,0,0,0,0,2.23,0,0,0,0,42.8,0,4.64,0,0.7,24.92,0,0,0,0,0,0,0,0,0,12.65,0,0,3.1,0
 48-58,0,0,0,0,0,0.69,0,4.55,1.57,0,22.4,0,4.03,0,12.57,53.25,0,0.56,1.38,0,3.75,0,0,0,0,8.82,0,1.28,0,0
 60-70,0,0,0,2.43,0,1.21,0.65,2.07,1.9,0,16.29,0,4.38,0,0,34.3,0,0,4.84,0,0,0,0,0,0,3.32,0,1.5,0,0
 72-82,0,0,0,0,0,4.28,0,0,2.51,0,3.08,0.5,3.81,0.67,0.78,54.44,0,0,10.68,0,0,0,0,0,0,1.02,0,0.52,2.19,0
 84-94,0,0,0,0,0,0.94,0,0,0.76,0.66,9.98,0,2.69,0,0,23.54,0,0,29.95,0,0,0,0,0,0,3.15,0.66,0,0,0.74
 96-106,0,0,0,1.58,0,4.84,2.82,0,0,0,16.1,0,14.84,0,0,32.48,0,0,9.79,0,0,0,1.98,0,0,3.58,0,0,0,1.57
108-118,0,0,0,1.02,0,1.43,0,4.4,0.72,1.08,29.93,0,2.03,0,0,31.55,0,0,13.11,0,0,0,0,0,0,0,0,0.82,0,0
120,0,0,0,6.05,0,0,0,0,0,0,8.99,0,4.66,0,0,78.2,0,0,21.69,0,0,0,0,0,0,0,0,0,0,8.22
