stage,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,0.92,0.99,0.84,0,0,0,0,1,0,2.77,0,0,0,0,0,1.64,0,0,0,5.93,0,0,0,2.09,0,61.48,3.7,1.4,0,3.11,6.15,0,0,1.8,0,0
 24-34,0,0.61,0,3.06,0,0.66,0,3.16,1.31,0.76,35.27,3.12,0,1.26,6.12,0,5.08,1.81,0,1.62,65.48,0.73,0,0.74,0,0,1439.53,0,0,0.74,0.68,17.07,0,0,38.88,0,0.61
 36-46,0,12.39,0,6.36,0,5.91,0.62,0.62,0.72,2.11,27.43,0.82,0,0,10.24,3.78,3.16,16.18,0,0,72.69,0.56,0,0,0,0,2907.99,0,1.52,0,0,32.24,0,0,36.64,0,5.24
 48-58,0,1.29,0,42.73,0.97,7.24,4.85,9.54,1.22,7.3,29.38,0,4.61,0,6.33,6.68,12.03,28.71,0.4,1.73,114.32,0,1.59,1.09,0,0,2550.33,0,0,0,0,18.61,0,0,38.42,0,3.73
 60-70,0,1.56,0,17.19,0,0.97,2.29,7.7,6.7,0,22.81,5.91,0,0,0,0,15.39,17.68,0,0.75,90.1,0,0,0,0,0,1341.91,0,6.55,0,0,2.09,0,0,34.38,0,0
 72-82,0.79,6.73,4.04,48.45,0,0,0.94,4.85,9.53,0.92,38.74,0,5.22,0,1.19,0,44.27,24.81,0,1.16,64.53,0,0,1.69,0,1.12,1035.12,0,1.85,0,0,10,3.4,0,95.42,0,0
 84-94,4.96,5.08,0.68,12.2,0,2.76,8.53,9.39,33.52,0,46.86,11.74,0,0,1.2,0,21.67,33.1,0,0,39.58,1.16,0,1.81,0,0,2686.28,0,8.03,0,0,2.87,0,0,110.14,0,0
 96-106,12.62,9.02,3.76,23.68,0,0,3.39,1.63,33.94,4.93,54.74,2.33,5.47,0,2.2,0,33.14,39.55,0,0.71,58.74,0,0,1.58,0,0,1858.3,0,5.75,0,0,6.18,1.68,1.24,145.93,2.37,7.77
108-118,11.6,1.43,1.66,16.66,0,0.95,2.94,0.43,35.17,0.47,53.04,4.8,0.43,0.76,3.22,0,40.79,9.45,0,0.65,53.55,0,0,0,0,1.22,1119.53,0,1.62,0.52,0,0,1.79,0,90.21,0,0
120,16.35,2.93,1.14,4.67,0,0,0,14.08,25.42,0,95.2,0,0,0,0,0,40.87,0,0,0,111.67,0,0,5.02,0,0,654.63,0,1.83,0,0,0,0,0,137.51,0,0
