stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,1014.17,16735.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,478.65,0,0,0,0,0,0,0,0,0,0,0
  5-6,2982.4,50669.35,125.9,0,0,0,0,0,0,0,0,145.84,0,0,0,0,0,0,0,0,0,0,0,1940.84,215.51,0,0,528.44,0,612.88,0,0,0,0,0,0,0,0,0,0,0
  7-9,615.61,1190.5,1358.88,0,0,3081.38,0,0,0,0,0,858.26,0,0,0,0,0,0,0,0,0,0,0,36419.16,710.92,0,0,12105.46,0,39.33,41.16,0,19.63,0,0,0,0,0,0,0,0
 10-12,4.89,391.86,588.53,0,47.07,1107.56,0,0,0,0,0,35.9,0,0,0,0,0,0,0,0,0,0,0,9084.44,123.28,0,0,4608.34,0,4.52,209.69,4.43,438.88,0,0,0,0,0,0,0,0
 14-21,0,1.28,22.02,146.74,46.13,204.46,0,0,0,66.77,4.37,2.24,0,0,0,0.87,0,0.86,0,131.26,0,0,116.09,3493.3,44.02,2.07,21.07,190.49,0,3.56,20.92,411.24,8.69,4.79,185.17,970.18,0,0,4.49,0,0
 24-34,0,0,6.35,49.69,2.92,233.91,0,1.57,3.98,27.83,7.69,0,3.64,0.87,0,0.7,0,8.49,0.62,188.51,0.71,0,98.2,1766.28,1.37,7.35,16.08,1,0,7.92,0.86,2.8,1.64,0,15.18,374.73,0,0,23.89,0,0.69
 36-46,0,0,0,11,0,131.97,2.03,1.06,5.63,36.17,1,0,4.97,0,0,0,0,0.67,8.74,162.2,0,1.32,41.51,760.99,1.29,1.48,4.9,0,0,9.56,3.05,0,0.59,0,0,128.51,0,0,5.01,0,0
 48-58,0,0,0,6.1,0,119.82,0,0,13.15,21.09,0,0,0.61,0,0,0.53,0,1.37,0.59,103.72,0.83,0.52,18.1,275.67,0,0.79,1.38,0,0,1,0.56,0,0,0,0,27.72,0,0,1.18,0,0
 60-70,0.81,0,0,7.79,0,83.96,0.58,0.87,13.15,68.73,1.6,0,0,0,0,0,0,0,0,121.23,0,2.47,25.6,156.65,0,2.02,0.84,0,0,3.13,1.07,0,0,0,0,9.99,0,0.94,0,0,9.9
 72-82,0,0,0,8.02,0,51.12,0,3.34,46.04,87.43,0,0,1.02,0.65,1.02,0,0,0,0,110.51,0,0.93,25.62,93.53,0,0,6.77,0,1.12,0,0,0,1.23,0.53,0,14.6,0,0,0,0,1.05
 84-94,0,0,0,3.29,1.41,65.36,0,0,20.47,52.54,0,0,0,8.25,0,0,0,0,0,109.76,0,1.52,20.07,60.89,0,1.89,0,0,0,0,0,0,0,0,0,16.34,0.97,0,0.96,0.63,0
 96-106,0,0,0,2.3,1.27,43.3,0.64,0.69,20.48,104.6,0,0,1.93,1.69,0,0,0,0,0,48.63,0,0,9.12,78.72,0,0,19,0,0,0,0,0,0.67,0,0,4.79,0,0,0,0,5.18
108-118,0,0,0,3.67,2.13,74.93,0,0.58,22.15,155.91,0,0,0.74,1.81,0,2.55,0,1.74,0,121.4,0,0,13.22,130.55,0,0.96,7.55,0,1.92,0,0,0,0,0,0,3.25,0,0,0,3.12,3.31
120,0,0,0,10.78,12.9,49.96,0,0,23.32,260.12,0,0,1.85,2.51,0,3.01,1.69,3.74,0,138.75,0,0,20.63,170.54,0,5.34,2.56,0,0,0,0,0,0,0,0,0,10.34,0,3.65,0,0
