stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,47.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,4.51,0,0,4.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,16.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.87,52.03,9.53,0,0,5.63,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,50.81,3.9,0,0,0,0,0,0,0,0.93,0,0,0,0,0,0,13.86,0,0,5.12,20.17,43.71,0,0,0,0,3.17,0,0,3.44,16.71,0,0,0,0,0
 24-34,0,0.66,0,59.97,0,21.7,3.52,0.74,0,8.78,0,0,21.56,0,0,2.83,7.02,6.75,1.63,149.81,0.69,0,31.98,315.16,9.3,35.33,4.21,0,0,9.89,0,1.1,6.37,51.79,0,0,18.31,0,12.18
 36-46,0,0,0,49.82,0,8.2,8.9,3.65,0,18.02,0,0,4.65,0,0,0,6.15,16.36,32.92,170.57,0,1.73,19.59,476.55,4.45,26.16,14.85,0,0,21.01,1.03,0,0,49.89,0,0,18.4,0,25.16
 48-58,0,0,0,30.22,0,25.73,12.99,9.83,0.88,20.41,0,0.37,13.55,0.83,0,16.43,3.7,2.56,48.31,138.61,1.31,1.84,21.97,486.66,3.5,25.36,5.46,0,0.61,16.92,0,0.79,0,69.59,0,0,16.64,0.48,37.87
 60-70,0,0,0,32.11,3.08,115.3,5.05,3.64,4.7,53.97,0,0,2.91,2.25,0,26.78,1.44,0,15.28,131.85,0.62,5.83,18.95,549.84,2.78,19.54,7.39,0,1.8,10.35,0,0,0,56.55,0,4.1,13,0.59,55.59
 72-82,0,0,0,11.39,0.49,258.56,7.85,11.98,5.68,106.62,0,0,4.86,0,0,17.2,8.09,0,14.61,201.79,3.11,10.55,19.85,659.4,0,35.18,14.1,0,7.4,5.2,0,0,0,39.25,1.36,5.05,20.3,4.22,71.5
 84-94,0,0,0,40.65,0,217.45,7.6,10.31,1.51,95.52,2.2,0,1.8,4.27,0,22.38,2.06,0,56.81,172.48,5.96,6.25,14.25,549.57,0.72,23.04,13.59,0,3.57,13.56,1.49,0.78,0,20.28,1.6,6.23,34.75,8.05,17.96
 96-106,0,3.67,0,36.08,1.56,272.62,10.44,4.81,5.35,170.86,0.69,0,2.11,9.71,2.85,26.58,8.8,0,16.61,138.19,11.29,13.03,10.21,377.98,0.66,38.32,20.67,0,4.64,4.62,1.33,0,0,16.93,0,4.48,33.78,4.39,26.44
108-118,0,0.98,0,28.36,3.96,269.18,0,10.67,4.63,175.51,0.75,0,2.42,3.02,0.71,33.12,6.89,0,55.22,179.25,6.82,14.89,10.75,629.61,2.8,26.41,32.02,0,3.35,6.31,0,0,0,8.57,5.65,2.34,26.32,4.93,67.73
120,0,0,0,26.58,0,309.62,5.73,3.76,14.98,200.31,3.35,0,9.34,12.98,0,36.7,2.85,0,11.2,197.2,0,1.38,10.63,833.22,1.33,21.46,26.55,0,16.5,1.06,0,0,0,25.76,0,6.5,31.04,3.69,33.56
