stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle
  5-6,277.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.08,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,100.85,0,56.75,6.9,0,0,0,0,0,4.62,0,0,0,0,0,0,0,0,0,369.49,0,0,0,3.71,0,4.33,11,0,0,0,0,0,0
 10-12,167.48,1382.33,0,721.3,12.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4593.76,11.48,0,0,18.76,0,47.96,11.11,39.52,0,0,0,0,0
 14-21,0,24.34,3834.29,41.56,3.16,0,0,0,0,0.96,17.91,36.67,0,9.29,0,0,406.58,1.09,0,41.49,344.57,1.08,0,1.86,0,0,93.21,0,0,3.41,4.65,5.13,0,0
 24-34,0,7.6,852.27,17.5,4.02,0,0,0,0,0,0,15.55,0,0,0,3.55,193.76,3.4,0,17.26,208.11,0,1.09,0,0,0,18.24,0,0.93,0,0,4.84,0,0
 36-46,0,2.24,215.82,8.86,0,0,10.62,0,0,0,0,15.63,0,0,2.05,0,35.64,0,0,0,42.46,0,1.02,0.84,0,5.7,19.89,0,0,0,0,0.67,0,0
 48-58,0,0,108.08,5.17,6.77,0,0.63,0.79,0,0,0,2.29,0,0,14.17,0,8.27,2.42,0,2.99,30.09,0,0,6.06,0,0,1.07,0,0,0,0,1.27,0,0
 60-70,0,0,65.91,0,3.57,0,0,0,0,0,0,0,0,0,24,0,1.18,0,0,0,19.68,0,0,9.2,0,0,8.25,0,0,0,0,0,0,0
 72-82,0,0,16.57,0,2.41,0,0,0,0,0,0,1.88,0,0.54,40.05,0,0,0,1.66,0,6.03,0,0,0,0,0,0,0,0,0,0,0,0,0.52
 84-94,0,0,36.29,0,1.91,0,0,0,0,0.93,0,0.8,0.57,0,27.56,0,0.92,0,6.22,0,3.2,0,0,0,0,0.91,2.58,0,0,0,0,0,0,0
 96-106,0,0,36.17,0,0,0.84,0,0,0,3.43,0,0,0,0,30.38,0,2.16,0,9.87,0,3.1,0,0,5.89,0,0,1.77,0,0,0,0,0,1.75,1.25
108-118,0,0,27.18,0,4.33,0,0.58,0,0.54,0,0,2.89,0,0.68,46.66,0,1.65,0,1.51,0,17.57,0,0,0,0,17.68,1.14,0,0,0,0,0,1.04,5.21
120,0,0,19.72,0,0,0,0,0,0,1.68,0,0,0,0,28.07,0,0,0,10.15,0,4.41,0,0,0,0,1.79,0,0,0,0,0,0,0,0
