stage,axial,blastomeres,epidermis,erythrocytes,glial,hatching_gland,immune,liver,mesenchyme,neural,notochord,otic,vasculature,xanthophores
  3-4,0,103.96,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,46.59,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,22.5,0,0,0,0,4.2,0,0,0,10.01,3.53,0,0,0
 14-21,0,0,0,0.85,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0.8,0,0,0,0,0,0,0
 60-70,0,0,0,0,1.77,0,3.3,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,1.34,0,0,6.64,0,0,0,0
 84-94,0,0,0,0,0,0,3.96,1.78,0,0,0,0,1.29,0
 96-106,0,0,1.2,0,0,0,1.47,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0,2.53,0.56,0.78,0,0,0.6,0.48,2.24
120,0,0,0,0,0,0,8.26,0,0,1.36,0,0,1.15,0
