stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature
  3-4,27.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,9.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.16,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.37,3.44,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,3.24,0.93,0.87,0.99,0,0,0.86,0,0,1.87,0,0,0
 24-34,0,0,0.67,0,0,0,1.05,3.49,1.11,0,0,0,0,1.48,0,0,0,5.91,0,1.53,0,0,4.77,0,0,0.81,0,0,0,0
 36-46,0,0,7.98,0,0,0,0,0,0,0,0,0,0,0,1.05,0,0.58,10.37,0,0,0,0,6.66,0,0,0,0,0,0,0
 48-58,0,0,0,0,0.89,0,2.44,0,0,0,0,0.38,0,0,0.85,0,0,15.14,0,0.87,0,0,15.86,0,0,0,0.5,0,0,0
 60-70,0,0,3.54,0,3.58,0,2.03,0,0,0,0,0,0,0,0,1.1,0,14.01,0,0,1.32,0,5.66,0,0,0,0.71,0,0,0
 72-82,0,0,0,1.28,8.05,0,0,4.19,0,0,0,0,0,0,0.53,0.58,0,6.1,0,3.19,0,0,2.63,0,0,0,0,0,0,0
 84-94,0,0,2.06,2.26,14.16,0,0,0,0,0,0,0,4.08,0,1.06,1.42,0,2.78,0,0.71,1.68,0,8.34,0,0,0,3.48,0,1.47,1.23
 96-106,0,0,0.71,4.15,1.26,0,0,0,0,0.73,0.67,0,1.76,1.99,1.36,0,0,0,0,11.51,2.14,0,1.49,0,0,0,1.72,0,0,0
108-118,0,0.8,1.5,3.32,1.14,0.91,0,0.81,0,0.85,0,0.41,1.36,0,8.38,0,0.73,4.1,0,9,1.74,0,6.15,0,0.47,0,0,1.88,0,0
120,0,0,1.12,0,0,3.25,0,0,0,1.47,0,1.62,0,0,0,0,0,8.47,0,0,13.55,0,7.57,2.16,0,0,0,1.37,0,0
