stage,blastomeres,epidermis,eye,neural,paraxial_mesoderm,spinal_cord
  3-4,23.8,0,0,0,0,0
  7-9,0,0,0,0,4.25,0
 24-34,0,2.09,0,0,0,0.95
 36-46,0,0,0,1.9,0,0
 48-58,0,0,0.77,0,0,0.94
 60-70,0,0,1.1,0,0,0.93
 72-82,0,0,0.62,2.63,0,0
108-118,0,0,0,0.57,0,0
